,Ballot Submission,,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,
10,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient.html,NEG,Correction,,,"Patient.extension
http://hl7.org/fhir/StructureDefinition/us-core-ethnicity Ethnicity group required Ethnicity group",,"Mayo Clinic recommends alignment with 2015 Edition ONC Final Rule. CDC Race and Ethnicity, not HL7 V3 Ethnicity, is specified as the vocabulary standard as well as the ability for a patient to decline to specify an ethnicity. Mayo Clinic supports the null values, ""Unknown"" and ""Asked but unknown"" remain in the required value set.","MU specifies CDC Race & Ethnicity, not v3, for representing ethnicity. ",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
11,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient.html,NEG,Correction,,,"Patient.extension
http://hl7.org/fhir/StructureDefinition/us-core-birthsex USRealm Birth Sex Value Set required USRealm Birth Sex Value Set",,"Mayo Clinic supports the separate collection of birth sex versus administrative gender. Mayo recommends SNOMED CT as the target vocabulary for representing patient birth sex rather than V3 Administrative Gender. SNOMED CT concepts, 248153007 male, and 248152002 female, are children of ""Finding related to biological sex"" which better represent this data element.","Value set contains administrative gender concepts, not birth sex concepts",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
12,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient.html,NEG,Correction,,,Patient.gender AdministrativeGender required AdministrativeGender,,"Mayo Clinic recommends alignment with 2015 Edition ONC Final Rule. HL7 V3 Administrative Gender and Null Flavor, not FHIR administrative-gender, are specified as the vocabulary standard for sex.","MU specifies V3 AdministrativeGender and NullFlavor, not FHIR administrative-gender, for representing sex",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
13,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient.html,NEG,Correction,,,Patient.contact.relationship v2 Contact Role extensible v2 Contact Role,,"Mayo Clinic supports the value set conformance change from required to extensible. In addition, Mayo Clinic recommends the https://www.hl7.org/fhir/valueset-relatedperson-relationshiptype.html be specified because it includes the concepts from the existing FHIR patient-contact-relationship value set and expands it to include V3 Role Codes. The result is a robust value set that represents Mayo's value se","Recommend PatientRelationshipType
https://www.hl7.org/fhir/valueset-relatedperson-relationshiptype.html",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
14,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-pract.html,NEG,Correction,,,Practitioner.gender AdministrativeGender required AdministrativeGender,,"Mayo Clinic recommends alignment with 2015 Edition ONC Final Rule. HL7 V3 Administrative Gender and Null Flavor, not FHIR administrative-gender, are specified as the vocabulary standard for sex.","MU specifies V3 AdministrativeGender and NullFlavor, not FHIR administrative-gender, for representing sex",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
15,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-pract.html,NEG,Correction,,,Practitioner.role.code DAF Provider Role (NUCC) required DAF Provider Role (NUCC),,"Mayo Clinic recommends alignment with Procedure.performer.role which specifes child concepts of SNOMED CT, 223366009 Healthcare professional, with a value set conformance strength set to example. SNOMED CT concepts represent the practitioner role versus specialty.",Required value set represents specialty rather than role.,,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
16,Data Access Framework (DAF),,4.3.1.1003,,,,,(profiles),http://hl7.org/fhir/2016Sep/valueset-usrealm-birthsex.html,A-T,Correction,,,"Value Set/usrealm-birthsex
Defining URL:  http://hl7.org/fhir/ValueSet/usrealm-birthsex",,"(Will submit same comment on FHIR DSTU3 ballot but found starting in DAF ballot and not sure if DAF has concerns)
URL errors with message:   
HL7 - 404 File Not Found

(correct URL)",Fix link to birth sex value set,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
17,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/2016Sep/extension-us-core-birthsex.html,A-T,Correction,,,Extension Content - URL = http://hl7.org/fhir/StructureDefinition/us-core-birthsex,,"(Will submit same comment on FHIR DSTU3 ballot but found starting in DAF ballot and not sure if DAF has concerns)
URL errors with message:   
HL7 - 404 File Not Found

(correct URL)",Fix link to birth sex extension,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
18,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/2016Sep/extension-us-core-birthsex-mappings.html,NEG,Clarification,,,"Extension Extension: Sex of patient assigned at birth - Mappings

Mappings for HL7 v2 Mapping (http://hl7.org/v2) - Mapped to HL7 Version 2 PID-8 

Mappings for RIM Mapping (http://hl7.org/v3) to ""administrativeGender""","V2 - to OBX-5 Observation Value.

V3 - Map to ""ObservationValue      [2.16.840.1.113883.5.1063]""","(Will submit same comment on FHIR DSTU3 ballot but found starting in DAF ballot and not sure if DAF has concerns)
PID-8 is ""Administrative Sex"" which is not the same as birth sex.  ""Administrative Sex"" is used for administrative purposes such as inpatient bed assignment and billing/claims processing.  

Accurate Birth sex is critical for laboratory result reporting and in V2  and V3 should be reported as a clinical observation.  PID-8 was originally (up until V2.4) titled ""Sex"" but the field  title was clarified for harmonization when HL7 Version 3 differentiated the concepts of ""administrative gender"" defined as ""The gender of a person used for administrative purposes (as opposed to clinical gender)"" thus creating two distinct concepts.  

-

Suggest working with Patient Administration to determine whether it is possible to clarify the definition of V2 PID-8 to include Birth Sex, but since V2 is normative and per ANSI, has to be backward compatible this may not be possible.  

Another alternative is to add a new field to the V2 PID segment to capture Birth Sex. ",Add mapping or new field to V2 to support birth sex,,,,,FHIR Infrastructure,,,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
19,Data Access Framework (DAF),,D.4.1,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-pract.html,A-T,Correction,,,•Query for a practitiioner by orgnaizational relationships,•Query for a practitioner by organizational relationships,Correct 2 typos,Typo,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
20,Data Access Framework (DAF),,D.??,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/valueset-daf-provider-role.html,A-Q,Clarification,,,TODO: Permission to Use and Distribute the Health Care Provider Taxonomy Code Set,,"Do you need to  publish in FHIR, or can you reference external NUCC list?  Otherwise, how do you keep FHIR in synch when NUCC publishes an update? ",Acces to NUCC,,,,,FHIR Infrastructure,,,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
21,Data Access Framework (DAF),,D.4.1,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-location.html,A-T,Correction,,,"This profile sets minimum expectations for the Location resource for recording, searching for and fetching a Location associated with a patient, provider or organizatino.","This profile sets minimum expectations for the Location resource for recording, searching for and fetching a Location associated with a patient, provider or organization.",Correct typo last word,Typo,,_Typo,,,FHIR Infrastructure,Persuasive,Auto-approved,,,,,,,,,,,Freida Hall ,Quest Diagnostics ,Freida Hall ,freida.x.hall@questdiagnostics.com ,,,,
22,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/valueset-daf-core-substance.html#vs,NEG,Enhancement,,,,,"The definition of the DAF Substance-Reactant for Intolerance and Negation Codes value set is based on a difficult to implement strategy and a soon to be outdated and incomplete set of codes.

The strategy that ""the expectation for use is that the chosen concept identifier for a substance should be appropriately specific and drawn from the available code systems in the following priority order ..."" is not practical to implement (particulalry regarding prioritization) and maintain (with three different code systems that are not fully integrated).  Also, the chosen four SNOMED CT negated codes are not the complete set that is available.  Instead, this could be defined as ""Include codes from http://snomed.info/sct where concept is-a 716186003""  (""No known allergy"" - new code added in the July 2016 International Editions - the previous code was 160244002).  This will be more complete and easier to maintain long term.

Finally, NDF-RT is going to be phased out soon and replaced by MED-RT, which integrates SNOMED CT (for drug classes, etc.), MeSH and RxNorm.  Basing the value set definition on MED-RT will provide a simpler, more robust, more usable and more maintainable value set than the current one. 
  ","Replace the current DAF Substance-Reactant for Intolerance and Negation Codes value set definition with a new one based on MED-RT plus the set of negated codes intensionally defined as subtypes of SNOMED CT 716186003 ""No known allergy""",,Ready-for-Vote,,,FHIR Infrastructure,Persuasive with mod,"Will update to 'no know..' to intensional definition from: No known allergy (situation)
SCTID: 716186003

Consider for future use MED-RT",,,,,,,,,,,Chris Hills ,,Rob Hausam ,,,,,
23,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,"We forsee GAP - provide Masking, Scrubbing of CCDA sections for example Toxic Lab Result section in CCDA orHL7 LOI/LRI OBX, OBR, PID sections or Medications section in CCDA with PID section. - This method will avoid Substance abuse not visible to other stakeholders in EHR - Admin, non SAMSHA physician.

This method will provide additional privacy & security for data exchange between SAMSHA, EHR, Court, Prison, Labs( for data at Rest, Motion and Transit apart from Encryption and other DIRECT/NwHIN exchange security principles).
","Need support for Masking, scrubbing",,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
24,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,"We foresee GAP - Data Integrity while Masking, Scrubbing, Encoding and Decoding  of CCDA/CDA section/entries is not clearly defined.","Data Integrity while Masking, Scrubbing, Encoding and Decoding  of CCDA/CDA section/entries is not clearly defined.",,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
25,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,We foresee GAP - Access Policy hierarchy is not defined clearly - WHO Laws-to-Federal Law-to-State Law-to-County Law-to Individual Hospital/Provider Law.,Access Policy hierarchy is not defined clearly,,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
26,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,We foresee GAP - Terminology gap to add Access Consent Directive and SAML and XACML assertion.,Terminology gap to add Access Consent Directive and SAML and XACML assertion,,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
27,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,We foresee GAP - add Access Consent Directive to CCDA Section and Entries level.,Add Access Consent Directive to CCDA Section and Entries level,,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
28,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Enhancement,,,,,We foresee GAP - add Access Consent Directive Certification Expiry date to indivual CCDA Section and Entries level.,Add Access Consent Directive Certification Expiry date to indivual CCDA Section and Entries level.,,F,,,Structured Documents,,,,,,,,,,,,,Chris Hills ,,Mags Tamilarasu ,,,,,
29,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10670,,,,,,,,,,,,,,,,,,,,,,,Gary Dickinson ,CentriHealth ,Gary Dickinson ,,,,,
30,Data Access Framework (DAF),,,,,,,(profiles),,NEG,,10671,,,,,,,,,,,,,,,,,,,,,,,Gary Dickinson ,CentriHealth ,Gary Dickinson ,,,,,
31,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/fhir/2016Sep/valueset-condition-category.html,NEG,Correction,,,,,These two codes were added to an Argonaut value set and need to be included in HL7 balloted value set to support interoperabilty validation using DAF-Core. They were added to a DAF CodeSystem (http://hl7.org/FHIR/us/daf/2016Sep/CodeSystem-daf-core-extension-codes.html) and should be included in a new daf-condition-category vaule set. Assign this new value set as preferred in profile DAF-core-condition. ,"Create a daf-condition-category value set that expands condition-category and includes codes: health-conern, problem",No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
32,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFGoalRequestSearch,NEG,Correction,,,,,Required search parameters for Goal should align with current Argonaut IG. 'date' element is optional and search SHALL be supported using only patient Id.,Add required search with only patient parameter.,No,,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
33,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFProcedureSearch,NEG,Correction,,,,,"Required search parameters for Procedure should align with current Argonaut IG., search SHALL be supported using only patient Id.",Add required search with only patient parameter.,No,,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
34,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-pract.html,A-S,Enhancement,,,,,"These two value sets are required, but have same definition: ""Include all codes defined in http://nucc.org/provider-taxonomy"". Can the defintions be more restricted to code setsets for role and specialty?",Value sets daf-provideer-role and daf-provider-specialty have same definitions,No,,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
35,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-careplan.html,NEG,Enhancement,,,,,"The current value set binding on category element to care-plan-cateogy is only an example, which provides no support for interoperabilty. Also, 'category' is a required search parameter for all DAF Care Plan searches (http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFCarePlanRequestSearch); it must have a predictable value set for client applications. The DAF-Core guide should require a value set for category that has 'extensible' strength, preferably by using or expanding the current example value set from SNOMED CT. In addtion, this value set must include the current DAF required code 'assess-plan' as an addition to the SCT value set, or by identifying an equivalent code from SCT.

Create a new value set for daf-care-plan-category that includes required code, ""assess-plan"", or preferably an equivalent code from SNOMED CT. Assign this new value set a binding strength 'extensible'.",Create a new value set for daf-care-plan-category that includes required code,No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
36,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/conformance-daf-query-responder.html#DAFCareTeamRequestSearch,NEG,Correction,,,,,"Remove 'category' as aa required search parameter for DAF CareTeam. There is no such element in CareTeam.  Or, add 'category' to CareTeam and define an 'extensible' value set in the DAF CareTeam profile.",Remove 'category' as aa required search parameter for DAF CareTeam.,No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
37,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-vitalsigns.html,A-S,Correction,,,,,"Change Observation.category value set binding from 'example' to 'extensible'. DAT-Core needs to commit to an extensible set of categories for app interoperability, and this profile makes one of the current observation-category value set codes required, which seems contradictory for an example value set.",Change Observation.category value set binding from 'example' to 'extensible' in daf-core-vitalsigns,No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
38,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-resultobs.html,A-S,Correction,,,,,"Change Observation.category value set binding from 'example' to 'extensible'. DAT-Core needs to commit to an extensible set of categories for app interoperability, and this profile makes one of the current observation-category value set codes required, which seems contradictory for an example value set.",Change Observation.category value set binding from 'example' to 'extensible' in daf-core-resultobs,No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
39,Data Access Framework (DAF),,DAF-Core,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-diagnosticreport.html,A-S,Correction,,,,,"Change DiagnosticReport.category value set binding from 'example' to 'extensible'. DAT-Core needs to commit to an extensible set of categories for app interoperability, and this profile makes one of the current diagnostic-service-sections value set codes required, which seems contradictory for an example value set.",Change DiagnosticReport.category value set binding from 'example' to 'extensible' in dav-core-diagnosticreport,No,C,,,FHIR Infrastructure,,,,,,,,,,,,,Greg Staudenmaier  ,US Department of Veterans Affairs ,Dave Carlson ,dave.carlson@bookzurman.com ,,,,
40,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core.html,NEG,,10558,,,,,,,,,,,,,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
41,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/valueset-daf-core-substance.html,NEG,Correction,,,"Error expanding ValueSet ""http://hl7.org/fhir/us/daf/ValueSet/daf-core-substance: Error unmarshalling resource: Unable to find value set ""http://hl7.org/fhir/us/daf/ValueSet/daf-core-substance-ndfrt""",,The Expansion section has an error expanding the Value Set ,Value set expansion error,,G,,,FHIR Infrastructure,,,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
42,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Clarification,,,,,The references in the banner to FHIR STU 2 are confusing as it is really pointing to DAF-Core STU 2.,DAF banner references to STU2 are unclear,,I,,,FHIR Infrastructure,,,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
43,Data Access Framework (DAF),,CarePlan.text.status,,,,,(profiles),http://hl7.org/fhir/valueset-narrative-status.html,NEG,Correction,,,,,"The Careplan.text.status points to FHIR DSTU 2.  It should point to FHIR STU 3.  
* Text Summary shows http://hl7.org/fhir/valueset-narrative-status.html 
* However, the Differential & Snapshot tabs shows http://hl7.org/fhir/us/daf/2016Sep/valueset-daf-core-narrative-status.html
E.g., CarePlan Category points to FHIR STU 3.",Incorrect link to FHIR DSTU 2 instead of FHIR STU3,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
44,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/fhir/valueset-narrative-status.html,NEG,Correction,,,,,"CarePlanStatus in in the Complete Summary of Mandatory Requiremnets links to FHIR DSTU 2, while in the list of Terminology Bindings it points to FHIR STU 3",Incorrect link to FHIR DSTU 2 instead of FHIR STU3,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
45,Data Access Framework (DAF),,Device-UDI,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-device.html,NEG,Enhancement,,,Device-UDI,,"Suggest to not include UDI in the name of the profile as this should not be limited to those devices with a UDI, rather anything implanted.  Also,  since this is not any device, but those implanted, suggest to rename to Implanted Device.",Remove UDI from profile name,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will remove,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
46,Data Access Framework (DAF),,,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-diagnosticreport.html,NEG,Enhancement,,,,,"In the complete summary of mandatory requirements 8. points to Observation, which goes to FHIR STU 3.  However, that does not seem constrained enough to support the CCDS specific requirements on Observation as indicated on the Argonaut IG.  Instead it should point to Lab Observation within DAF (http://hl7.org/FHIR/us/daf/2016Sep/daf-core-resultobs.html)",Update DiagnosticReport reference from observation to daf-core-resultobs,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
47,Data Access Framework (DAF),,,,,,,(profiles),,NEG,Correction,,,,,"It appears that DAF is partially adopting STU 3 (e.g., CareTeam, or Conidition Clinical Status Code) and still partially using DSTU 2 (e.g., CarePlanStatus).  Everything should be STU 3 based before publishing as part of overall STU publication.  This would have the most industry value to converge on a consistent definition of FHIR APIs supporting CCDS.",Update all DAF references to STU3,,Ready-for-Vote,,,FHIR Infrastructure,Persuasive,Will update to reference STU3.,,,,,,,,,,,Hans Buitendijk ,,Hans Buitendijk ,,,,,
