"start","tracker_item_id","change_date","field_name","old_value","new_value"
"===",2840,"2015-01-11 22:16:00.615692+00","forwgmreviewby62","None","MnM"
"===",2840,"2015-03-01 20:08:17.274589+00","status","Waiting for Input","Triaged"
"===",2840,"2015-03-15 20:36:56.076699+00","status","Triaged","Ready for Vote"
"===",2840,"2015-03-21 23:46:00.374461+00","ballotresolution","None","Persuasive with Mod"
"===",2840,"2015-03-21 23:46:00.374461+00","status","Ready for Vote","Approved"
"===",2841,"2014-01-21 18:01:06.18004+00","_created_","","Explain how to populate fhirVersion"
"===",2841,"2014-01-21 18:01:37.6702+00","Waiting For","Assignee(s)","None"
"===",2841,"2014-01-21 18:01:37.6702+00","summary","Explain how to populate fhirVersion","Explain how to populate Profile.fhirVersion"
"===",2841,"2014-01-21 19:53:21.137165+00","assignee","None","Lloyd McKenzie"
"===",2841,"2014-01-21 19:53:21.137165+00","assignee","Nobody ","Removed"
"===",2841,"2014-01-22 15:11:47.272772+00","tracker","Internal To Do","FHIR Change Requests"
"===",2841,"2014-01-22 15:11:47.272772+00","open_date","2014-01-20 17:00:00","2014-01-22 08:11:47"
"===",2841,"2014-01-22 15:18:10.285874+00","resourcename78","None","Profile"
"===",2841,"2014-01-22 15:18:10.285874+00","reviewingworkgroups","None","FHIR Core Team,Infrastructure &amp; Messaging"
"===",2841,"2014-01-22 15:18:10.285874+00","assignee","None","Grahame Grieve"
"===",2841,"2014-01-22 15:18:10.285874+00","category","None","Enhancement"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Joshua Mandel"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Hugh Glover"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Ewout Kramer"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Jane Curry"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Duane Bender"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Claude Nanjo"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Bo Dagnall"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Helen  Drijfhout"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Patrick Loyd"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Joginder Madra"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Line Saele"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Richard Kavanagh"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Alexander Henket"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Paul Knapp"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Lorraine Constable"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","David Hay"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Brian  Pech"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","John Moehrke"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Jonathan Whitby"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Richard Ettema"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Dale Nelson"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Dave Shaver"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Craig Parker"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Rik Smithies"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Greg Rehwoldt"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Wendy Huang"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Wendy Huang"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Robert Hausam"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Michael Ekaireb"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Michael van der Zel"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Brian Postlethwaite"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Woody Beeler"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Jean-Henri Duteau"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Andy Stechishin"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Lynn Laakso"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Chris Straight"
"===",2841,"2014-02-03 22:24:20.047321+00","assignee","None","Prashant Trivedi"
"===",2841,"2014-02-03 22:24:20.047321+00","status","Submitted","Reviewed"
"===",2841,"2014-02-03 22:24:20.047321+00","reviewingworkgroups","FHIR Core Team,Infrastructure &amp; Messaging","FHIR Core Team,Infrastructure &amp; Messaging"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","None","Nobody "
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Lloyd McKenzie","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Woody Beeler","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Craig Parker","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Dale Nelson","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Grahame Grieve","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Hugh Glover","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Jane Curry","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Patrick Loyd","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Richard Kavanagh","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Robert Hausam","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Wendy Huang","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Helen  Drijfhout","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Alexander Henket","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Andy Stechishin","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Joginder Madra","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Lynn Laakso","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Jean-Henri Duteau","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Dave Shaver","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Michael van der Zel","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Rik Smithies","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","John Moehrke","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Lorraine Constable","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Wendy Huang","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Ewout Kramer","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","David Hay","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Paul Knapp","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Brian  Pech","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Bo Dagnall","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Line Saele","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Prashant Trivedi","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Jonathan Whitby","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Chris Straight","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Greg Rehwoldt","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Duane Bender","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Joshua Mandel","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Brian Postlethwaite","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Michael Ekaireb","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Richard Ettema","Removed"
"===",2841,"2014-02-03 22:48:38.285474+00","reviewingworkgroups","FHIR Core Team,Infrastructure &amp; Messaging","FHIR Core Team,Infrastructure &amp; Messaging"
"===",2841,"2014-02-03 22:48:38.285474+00","assignee","Claude Nanjo","Removed"
"===",2841,"2014-02-03 22:51:35.384694+00","close_date","","2014-02-04 09:51:35"
"===",2841,"2014-02-03 22:51:35.384694+00","status","Reviewed","Explained -nochange"
"===",2841,"2014-02-03 22:51:35.384694+00","reviewingworkgroups","FHIR Core Team,Infrastructure &amp; Messaging","FHIR Core Team,Infrastructure &amp; Messaging"
"===",2841,"2014-02-03 22:51:35.384694+00","status_id","1","0"
"===",2841,"2014-02-03 23:00:50.078785+00","reviewingworkgroups","FHIR Core Team,Infrastructure &amp; Messaging","FHIR Core Team,Infrastructure &amp; Messaging"
"===",2841,"2014-04-28 14:40:40.967337+00","reviewingworkgroup14","Infrastructure &amp; Messaging,FHIR Core Team","Templates,FHIR Core Team"
"===",2841,"2014-05-05 05:27:18.42143+00","reviewingworkgroup68","Templates,FHIR Core Team","Templates,FHIR Core Team"
"===",2841,"2014-05-05 05:27:18.42143+00","resources16","None","Profile"
"===",2841,"2014-05-07 23:52:28.359271+00","close_date","2014-Feb-03 23:51:35",""
"===",2841,"2014-05-07 23:52:28.359271+00","status","Explained -nochange","Approved"
"===",2841,"2014-05-07 23:52:28.359271+00","reviewingworkgroup68","Templates,FHIR Core Team","Templates,FHIR Core Team"
"===",2841,"2014-05-07 23:52:28.359271+00","resources","Profile","Profile"
"===",2841,"2014-05-07 23:52:28.359271+00","targetrelease","2.0.6","DSTURelease2"
"===",2841,"2014-05-07 23:52:28.359271+00","status_id","0","1"
"===",2841,"2014-10-13 05:19:43.794934+00","close_date","2014-Feb-04 09:51:35","2014-10-13 16:19:43"
"===",2841,"2014-10-13 05:19:43.794934+00","status","Approved","Applied"
"===",2841,"2014-10-13 05:19:43.794934+00","reviewingworkgroup67","Templates,FHIR Core Team","Templates,FHIR Core Team"
"===",2841,"2014-10-13 05:19:43.794934+00","resources64","Profile","Profile"
"===",2841,"2014-10-13 05:19:43.794934+00","status_id","1","0"
"===",2841,"2014-10-15 10:36:08.228696+00","backwardcompatible45","None","Yes"
"===",2841,"2014-10-15 10:36:08.228696+00","reviewingworkgroup67","Templates,FHIR Core Team","Templates,FHIR Core Team"
"===",2841,"2014-10-15 10:36:08.228696+00","resources","Profile","Profile"
"===",2842,"2014-01-21 18:16:46.421112+00","_created_","","Ensure that the ""development release"" of FHIR has a URL indicating that it's the development release"
"===",2842,"2014-01-21 19:53:29.127346+00","Waiting For","Assignee(s)","None"
"===",2842,"2014-01-21 19:53:29.127346+00","assignee","None","Lloyd McKenzie"
"===",2842,"2014-01-21 19:53:29.127346+00","assignee","Nobody ","Removed"
"===",2842,"2014-01-22 15:12:16.572813+00","tracker","Internal To Do","FHIR Change Requests"
"===",2842,"2014-01-22 15:12:16.572813+00","open_date","2014-01-20 17:00:00","2014-01-22 08:12:16"
"===",2842,"2014-01-22 15:42:49.791259+00","status","Submitted","Reviewed"
"===",2842,"2014-01-22 15:42:49.791259+00","category","None","Other"
"===",2842,"2014-01-22 15:42:49.791259+00","resourcename78","None","N/A"
"===",2842,"2014-01-22 15:42:49.791259+00","reviewingworkgroups","None","FHIR Governance Board"
"===",2842,"2014-02-03 22:52:19.08959+00","status","Reviewed","Applied"
"===",2842,"2014-02-03 22:52:19.08959+00","reviewingworkgroups","FHIR Governance Board","FHIR Governance Board"
"===",2842,"2014-05-04 16:12:51.67092+00","reviewingworkgroup68","FHIR Governance Board","FHIR Governance Board"
"===",2842,"2014-05-04 16:12:51.67092+00","category","Other","Enhancement"
"===",2842,"2014-05-05 05:46:27.890262+00","reviewingworkgroup68","FHIR Governance Board","FHIR Mgmt Group"
"===",2842,"2014-05-05 07:55:02.316372+00","reviewingworkgroup68","FHIR Mgmt Group","FHIR Mgmt Group"
"===",2842,"2014-05-05 07:55:02.316372+00","htmlpage","None","index"
"===",2842,"2014-10-15 10:36:14.757735+00","close_date","","2014-10-15 21:36:14"
"===",2842,"2014-10-15 10:36:14.757735+00","backwardcompatible45","None","Yes"
"===",2842,"2014-10-15 10:36:14.757735+00","reviewingworkgroup67","FHIR Mgmt Group","FHIR Mgmt Group"
"===",2842,"2014-10-15 10:36:14.757735+00","htmlpage","index","index"
"===",2842,"2014-10-15 10:36:14.757735+00","status_id","1","0"
"===",2853,"2014-01-22 05:17:59.438701+00","_created_","","You can have Observation.contained.extension ?!"
"===",2853,"2014-01-22 15:12:40.321359+00","tracker","Internal To Do","FHIR Change Requests"
"===",2853,"2014-01-22 15:12:40.321359+00","open_date","2014-01-21 17:00:00","2014-01-22 08:12:40"
"===",2853,"2014-01-22 15:26:29.269898+00","Waiting For","Assignee(s)","None"
"===",2853,"2014-01-22 15:26:29.269898+00","category","None","Correction"
"===",2853,"2014-01-22 15:26:29.269898+00","resourcename78","None","N/A"
"===",2853,"2014-01-22 15:26:29.269898+00","reviewingworkgroups","None","FHIR Core Team,ITS"
"===",2853,"2014-04-28 15:04:02.199339+00","pagenamefromurl","None","http://www.hl7.org/implement/standards/fhir/diagnosticreport-profile-lipids.html"
"===",2853,"2014-04-28 15:04:02.199339+00","reviewingworkgroups","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",2853,"2014-04-28 15:04:48.292798+00","reviewingworkgroups","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",2853,"2014-04-28 15:04:48.292798+00","pagenamefromurl","http://www.hl7.org/implement/standards/fhir/diagnosticreport-profile-lipids.html","diagnosticreport-profile-lipids.html"
"===",2853,"2014-04-28 15:29:22.499543+00","reviewingworkgroups","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",2853,"2014-04-28 15:29:22.499543+00","status","Submitted","Reviewed"
"===",2853,"2014-05-05 07:31:43.925785+00","reviewingworkgroup68","ITS,FHIR Core Team","ITS,FHIR Core Team"
"===",2853,"2014-05-05 07:31:43.925785+00","resources","None","DiagnosticReport"
"===",2853,"2014-05-05 18:58:10.779038+00","status","Reviewed","Approved"
"===",2853,"2014-05-05 18:58:10.779038+00","reviewingworkgroup68","ITS,FHIR Core Team","ITS"
"===",2853,"2014-05-05 18:58:10.779038+00","resources","DiagnosticReport","DiagnosticReport"
"===",2853,"2014-05-05 18:58:10.779038+00","targetrelease","2.0.6","DSTURelease2"
"===",2853,"2014-10-02 04:24:23.569695+00","assignee","None","Nobody "
"===",2853,"2014-10-02 04:24:23.569695+00","assignee","Lloyd McKenzie","Removed"
"===",2853,"2014-10-02 04:24:23.569695+00","reviewingworkgroup67","ITS","ITS"
"===",2853,"2014-10-02 04:24:23.569695+00","resources64","DiagnosticReport","DiagnosticReport"
"===",2853,"2014-10-02 22:21:03.109331+00","reviewingworkgroup67","ITS","ITS"
"===",2853,"2014-10-02 22:21:03.109331+00","resources64","DiagnosticReport","DiagnosticReport"
"===",2853,"2014-10-07 18:24:34.359877+00","assignee","None","Paul Knapp"
"===",2853,"2014-10-07 18:24:34.359877+00","assignee","Nobody ","Removed"
"===",2853,"2014-10-07 18:24:34.359877+00","reviewingworkgroup67","ITS","ITS"
"===",2853,"2014-10-07 18:24:34.359877+00","resources64","DiagnosticReport","DiagnosticReport"
"===",2853,"2014-10-14 23:11:55.270025+00","close_date","","2014-10-15 10:11:55"
"===",2853,"2014-10-14 23:11:55.270025+00","status","Approved","Applied"
"===",2853,"2014-10-14 23:11:55.270025+00","reviewingworkgroup67","ITS","ITS"
"===",2853,"2014-10-14 23:11:55.270025+00","resources","DiagnosticReport","DiagnosticReport"
"===",2853,"2014-10-14 23:11:55.270025+00","status_id","1","0"
"===",2853,"2014-10-15 10:36:18.65261+00","backwardcompatible45","None","Yes"
"===",2853,"2014-10-15 10:36:18.65261+00","reviewingworkgroup67","ITS","ITS"
"===",2853,"2014-10-15 10:36:18.65261+00","resources","DiagnosticReport","DiagnosticReport"
"===",2854,"2014-01-22 05:19:25.699608+00","_created_","","On lipids, the profile source spreadsheet is correct, but the export that produces the profile.xml file is somehow losing the profile reference on Resource(Observation)"
"===",2854,"2014-01-22 15:13:11.788314+00","tracker","Internal To Do","FHIR Change Requests"
"===",2854,"2014-01-22 15:13:11.788314+00","open_date","2014-01-21 17:00:00","2014-01-22 08:13:11"
"===",2854,"2014-01-22 15:46:02.58123+00","Waiting For","Assignee(s)","None"
"===",2854,"2014-01-22 15:46:02.58123+00","assignee","None","Grahame Grieve"
"===",2854,"2014-01-22 15:46:02.58123+00","assignee","Lloyd McKenzie","Removed"
"===",2854,"2014-01-22 15:46:02.58123+00","status","Submitted","Reviewed"
"===",2854,"2014-01-22 15:46:02.58123+00","category","None","Correction"
"===",2854,"2014-01-22 15:46:02.58123+00","resourcename78","None","N/A"
"===",2854,"2014-01-22 15:46:02.58123+00","reviewingworkgroups","None","FHIR Core Team"
"===",2854,"2014-04-28 15:05:21.601986+00","pagenamefromurl","None","diagnosticreport-profile-lipids.html"
"===",2854,"2014-04-28 15:05:21.601986+00","reviewingworkgroups","FHIR Core Team","FHIR Core Team"
"===",2854,"2014-05-04 18:29:59.145748+00","reviewingworkgroup68","FHIR Core Team","FHIR Tooling/Pubs"
"===",2854,"2014-05-05 07:31:43.925785+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2854,"2014-05-05 07:31:43.925785+00","resources","None","DiagnosticReport"
"===",2854,"2014-05-06 05:13:34.61877+00","status","Reviewed","Approved"
"===",2854,"2014-05-06 05:13:34.61877+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2854,"2014-05-06 05:13:34.61877+00","resources","DiagnosticReport","DiagnosticReport"
"===",2854,"2014-10-14 23:15:35.703967+00","close_date","","2014-10-15 10:15:35"
"===",2854,"2014-10-14 23:15:35.703967+00","status","Approved","Applied"
"===",2854,"2014-10-14 23:15:35.703967+00","reviewingworkgroup67","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2854,"2014-10-14 23:15:35.703967+00","resources","DiagnosticReport","DiagnosticReport"
"===",2854,"2014-10-14 23:15:35.703967+00","status_id","1","0"
"===",2854,"2014-10-15 10:36:26.13091+00","backwardcompatible45","None","Yes"
"===",2854,"2014-10-15 10:36:26.13091+00","reviewingworkgroup67","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2854,"2014-10-15 10:36:26.13091+00","resources","DiagnosticReport","DiagnosticReport"
"===",2855,"2014-01-22 05:20:37.690935+00","_created_","","don't allow non-fixed bindings for elements of type ""code""."
"===",2855,"2014-01-22 15:13:56.366459+00","tracker","Internal To Do","FHIR Change Requests"
"===",2855,"2014-01-22 15:13:56.366459+00","open_date","2014-01-21 17:00:00","2014-01-22 08:13:56"
"===",2855,"2014-01-22 15:47:25.489377+00","Waiting For","Assignee(s)","None"
"===",2855,"2014-01-22 15:47:25.489377+00","assignee","None","Grahame Grieve"
"===",2855,"2014-01-22 15:47:25.489377+00","assignee","Lloyd McKenzie","Removed"
"===",2855,"2014-01-22 15:47:25.489377+00","category","None","Correction"
"===",2855,"2014-01-22 15:47:25.489377+00","pagenamefromurl31","None","vocabulary"
"===",2855,"2014-01-22 15:47:25.489377+00","resourcename78","None","N/A"
"===",2855,"2014-01-22 15:47:25.489377+00","reviewingworkgroups","None","Vocabulary"
"===",2855,"2014-01-22 15:47:25.489377+00","status","Submitted","Reviewed"
"===",2855,"2014-05-05 07:33:23.732111+00","reviewingworkgroup68","Vocabulary","FHIR Tooling/Pubs,Vocabulary,FHIR Core Team"
"===",2855,"2014-05-05 07:33:23.732111+00","htmlpage19","None","(many)"
"===",2855,"2014-05-06 05:13:34.61877+00","reviewingworkgroup68","FHIR Tooling/Pubs,Vocabulary,FHIR Core Team","FHIR Tooling/Pubs,Vocabulary,FHIR Core Team"
"===",2855,"2014-05-06 05:13:34.61877+00","htmlpage","(many)","(many)"
"===",2855,"2014-05-06 05:13:34.61877+00","status","Reviewed","Approved"
"===",2855,"2014-09-14 19:50:37.842813+00","reviewingworkgroup68","FHIR Tooling/Pubs,Vocabulary,FHIR Core Team","FHIR Tooling/Pubs,FHIR Core Team"
"===",2855,"2014-09-14 19:50:37.842813+00","htmlpage","(many)","(many)"
"===",2855,"2014-10-14 23:21:22.057147+00","status","Approved","Triaged"
"===",2855,"2014-10-14 23:21:22.057147+00","reviewingworkgroup67","FHIR Core Team,FHIR Tooling/Pubs","FHIR Core Team,FHIR Tooling/Pubs"
"===",2855,"2014-10-14 23:21:22.057147+00","htmlpage","(many)","(many)"
"===",2855,"2014-10-15 00:32:12.550907+00","close_date","","2014-10-15 11:32:12"
"===",2855,"2014-10-15 00:32:12.550907+00","status","Triaged","Applied"
"===",2855,"2014-10-15 00:32:12.550907+00","reviewingworkgroup67","FHIR Core Team,FHIR Tooling/Pubs","FHIR Core Team,FHIR Tooling/Pubs"
"===",2855,"2014-10-15 00:32:12.550907+00","htmlpage","(many)","(many)"
"===",2855,"2014-10-15 00:32:12.550907+00","status_id","1","0"
"===",2855,"2014-10-15 10:36:32.347362+00","backwardcompatible45","None","Yes"
"===",2855,"2014-10-15 10:36:32.347362+00","reviewingworkgroup67","FHIR Core Team,FHIR Tooling/Pubs","FHIR Core Team,FHIR Tooling/Pubs"
"===",2855,"2014-10-15 10:36:32.347362+00","htmlpage","(many)","(many)"
"===",2856,"2014-01-22 05:23:50.949646+00","_created_","","Profile.structure.element.definition.type elements should repeat to represent disjunction"
"===",2856,"2014-01-22 15:14:38.085795+00","tracker","Internal To Do","FHIR Change Requests"
"===",2856,"2014-01-22 15:14:38.085795+00","open_date","2014-01-21 17:00:00","2014-01-22 08:14:38"
"===",2856,"2014-01-22 15:49:22.356945+00","Waiting For","Assignee(s)","None"
"===",2856,"2014-01-22 15:49:22.356945+00","assignee","None","Grahame Grieve"
"===",2856,"2014-01-22 15:49:22.356945+00","assignee","Lloyd McKenzie","Removed"
"===",2856,"2014-01-22 15:49:22.356945+00","resourcename78","None","Profile"
"===",2856,"2014-01-22 15:49:22.356945+00","reviewingworkgroups","None","FHIR Core Team"
"===",2856,"2014-01-22 15:49:22.356945+00","category","None","Correction"
"===",2856,"2014-01-29 16:31:44.455447+00","reviewingworkgroups","FHIR Core Team","FHIR Core Team"
"===",2856,"2014-04-28 15:27:04.001142+00","reviewingworkgroups","FHIR Core Team","Templates,FHIR Core Team"
"===",2856,"2014-04-28 15:29:22.499543+00","status","Submitted","Reviewed"
"===",2856,"2014-04-28 15:29:22.499543+00","reviewingworkgroups","Templates,FHIR Core Team","Templates,FHIR Core Team"
"===",2856,"2014-05-04 18:29:36.460817+00","reviewingworkgroup68","Templates,FHIR Core Team","FHIR Tooling/Pubs"
"===",2856,"2014-05-05 06:09:43.894308+00","resources","None","Profile"
"===",2856,"2014-05-05 06:09:43.894308+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2856,"2014-05-06 05:13:34.61877+00","reviewingworkgroup68","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2856,"2014-05-06 05:13:34.61877+00","resources","Profile","Profile"
"===",2856,"2014-05-06 05:13:34.61877+00","status","Reviewed","Approved"
"===",2856,"2014-10-14 23:23:28.83416+00","close_date","","2014-10-15 10:23:28"
"===",2856,"2014-10-14 23:23:28.83416+00","status","Approved","Applied"
"===",2856,"2014-10-14 23:23:28.83416+00","reviewingworkgroup67","FHIR Tooling/Pubs","FHIR Tooling/Pubs"
"===",2856,"2014-10-14 23:23:28.83416+00","resources","Profile","Profile"
"===",2856,"2014-10-14 23:23:28.83416+00","status_id","1","0"
"===",2856,"2014-10-15 10:36:51.711617+00","backwardcompatible45","None","No"
