"start","tracker_item_id","priority","open_date","close_date","summary","details","submitted_by","last_modified_date","last_modified_by"
"===",2866,3,"2014-01-24 16:17:52+00","2014-10-14 23:26:53+00","Media.length should be ""duration""","<p>
&lt;<a href=""http://ewoutkramer.github.io/fhir/media-definitions.html#Media.length""><strong>length</strong></a> value=""[<a href=""http://ewoutkramer.github.io/fhir/datatypes.html#integer"">integer</a>]""/&gt;&lt;!-- <strong> 0..1</strong> Length in seconds (audio / video) § --&gt;</p>

<p>
Avoid confusion with ""width"" by giving this field a clearer name.</p>
",2904,"2014-10-15 10:29:05+00",150
"===",2874,3,"2014-01-27 21:04:08+00","2014-10-14 22:17:04+00","Bad link in XML example for Attachment","<p>
The link under ""<a href=""http://www.rfc-editor.org/bcp/bcp13.txt.html"">Mime type of the content, with charset etc.</a>"" results in a 404.</p>
",413,"2014-10-15 10:29:23+00",150
"===",2881,3,"2014-01-29 05:41:50+00","2014-10-15 00:36:15+00","NullFlavor appears in some resource descriptions","<p>
We should avoid all reference to v3 concepts unless as part of a RIM or RMIM mapping</p>
",105,"2014-10-15 10:29:30+00",150
"===",2882,3,"2014-01-29 14:34:49+00","2014-10-15 00:37:24+00","Duplicate text in FamilyHistory documentation","<p>
The text: ""Equally, sometimes the person can be identified ('my aunt Agatha') and sometimes all that is known is that the person was an uncle."" is duplicated.</p>
",413,"2014-10-15 10:29:42+00",150
"===",2884,3,"2014-01-30 13:27:02+00","2014-06-20 09:10:46+00","On lower resolutions, the menu shrinks to just a dropdown, but this dropdown is empty","<p>
Bootstrap offers this functionality, but obviously, we are using it incorrectly</p>
",2529,"2014-10-15 10:34:15+00",150
"===",2885,3,"2014-01-30 14:01:43+00","2014-04-28 15:35:01+00","The tag operations for deleting tags use DELETE with a body. This is unsupported on some major platforms.","<p>
The HTTP spec is not clear on whether this is allowed, but fiddler marks it as illegal, it triggers a bug in .NET's WebApi and apache http library doesn't support sending it. Furthermore, the URL for the DELETE must indicate a resource endpoint, not an operation (the HTTP spec is clear on that).</p>

<p>
 </p>
",2529,"2014-10-15 10:33:34+00",150
"===",2886,3,"2014-01-30 14:55:57+00","","Allow Profiles to express relationships between profiles","<p>
E.g. it would be good to express ""supercedes"".</p>

<p>
 </p>

<p>
Source: This item was brought up during the San Antonio CGIT meeting</p>
",2529,"2015-01-30 22:16:20+00",105
"===",2887,3,"2014-01-30 23:14:27+00","2014-10-13 04:32:48+00","Need Profile to support both deltas and ""compiled"" expressions","<p>
At present, the resource presumes that it expresses the ""compiled"" form (though Ewout's tool just captures the 'difference' form).  There are use-cases for having each and in some cases, both.  We need to figure out whether that's two resources or one (and if two, how to link them).  If one, we need a way to distinguish which we're looking at.</p>
",105,"2014-10-15 10:29:51+00",150
"===",2888,3,"2014-01-31 04:14:27+00","2014-10-14 22:13:42+00","zip should be postalCode","<p>
Zip is USA centric. People in the USA can handle something called postalCode easier than people in other countries can handle zip, where it is often confused with the compression format. This comes from personal experience as a US citizen who spent years as an expat in Japan.</p>
",413,"2014-10-15 10:29:58+00",150
"===",2889,3,"2014-01-31 04:21:16+00","2014-11-17 06:40:23+00","Allow metadata to be easily expressed in XML for those without direct access to a FHIR server","<p>
I would like to see metadata such as the profile id (tag, whatever) accessible to those who process resources using nothing other than the XML. Example<br /><br />
A developer wants to use Observation.xsd for consuming/building resources using off the shelf tools. They need (for their own devious purposes like validation, etc.) to know/express what profile(s) that resource conforms too. Right now they can't do that without an extension because the resource level schemas don't call in the elements from the atom namespace. Or, they need to use the full fhir.atom schema, which supposedly is not necessary for creating/consuming resources.</p>
",413,"2014-11-17 06:40:23+00",150
"===",2942,3,"2014-02-04 18:38:34+00","2015-03-15 22:04:53+00","Ensure that spreadsheets and profiles define all relevant named queries","<p>
Currently named queries are <strong>documented only in ""notes"":</strong></p>

<p>
    fhir/build/source$ grep -ril ""_query"" **/*.xml<br />
    conceptmap/conceptmap-notes.xml<br />
    documentreference/documentreference-notes.xml<br />
    valueset/valueset-notes.xml</p>

<p>
 </p>

<p>
These need to be documented in Profile.query (and, as a precursor, in the various -spreadsheet.xml files).</p>

<p>
 </p>
",2904,"2015-03-15 22:04:53+00",150
"===",2945,3,"2014-02-07 16:29:45+00","2014-10-15 10:30:06+00","Supply example XML is essentially empty","<p>
The example XML for the Supply Resource has the following contents:</p>

<p>
&lt;!-- insert contents here --&gt;</p>

<p>
Could someone supply a real example, please?</p>
",2942,"2014-10-15 10:30:06+00",150
"===",2946,3,"2014-02-07 17:42:59+00","2014-10-15 02:27:43+00","Image in document needs a <br/>","<p>
The text wraps around the ""Key concepts"" image rather than starting on a new line.</p>
",2942,"2014-10-15 10:30:21+00",150
"===",2947,3,"2014-02-07 18:59:04+00","2014-10-15 02:29:22+00","Value set ID misidentified in header","<p>
The ID is correctly identified in the text as <a href=""http://hl7.org/fhir/vs/object-role,"">http://hl7.org/fhir/vs/object-role,</a> but is given in the header as <a href=""http://hl7.org/fhir/object-role."">http://hl7.org/fhir/object-role.</a></p>
",2942,"2014-10-15 02:29:22+00",150
"===",2948,3,"2014-02-08 02:27:32+00","2015-03-14 18:32:12+00","""MIME type"" deprecated in favor of ""Media Type""","<p>
It seems that IANA is no longer using the term MIME Types, in favor of the new term Media Types. See for example <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">http://www.iana.org/assignments/media-types/media-types.xhtml</a>.Should DocumentReference.mimeType and the corresponding code set name be changed to reflect the current standard?  Also, would it make sense to point to the IANA page instead of BCP 13? I note that we <em>also</em> use the term Media Type (for example in Media.type, naturally enough).</p>
",2942,"2015-03-14 18:32:12+00",150
"===",2949,3,"2014-02-08 20:05:46+00","2014-10-13 06:45:06+00","Conformance.software.releaseDate should be a date, not a dateTime","<p>
There's no case that I can think of for having a release date specified to the minute.</p>
",2942,"2014-10-15 10:30:59+00",150
"===",2952,3,"2014-02-09 23:31:08+00","2014-11-17 18:47:39+00","Condition.onsert[x] should allow time","<p>
Condition usage[x] doesn't allow date, but one of the use cases it is intended to cover is this:</p>

<p>
4:15 pm  onset of symptoms of acute MI</p>

<p>
4:42 pm EMS arrives, vital signs, EKG</p>

<p>
4:57 pm  arrival at ED, vital signs, EKG, laboratory test, administration of fibrinolytics</p>

<p>
5:13 pm procedure begun in catheterization lab</p>

<p>
Proposal: allow time portion</p>
",150,"2014-12-07 21:23:33+00",2711
"===",2953,3,"2014-02-10 03:02:40+00","2014-10-15 12:48:03+00","Be specific that non-safe/non-idempotent methods SHOULD not use GET","<p>
Be specific that search implementations should use GET not POST if there is side effects or resources changes other than audit/accounting on the server, and add reference to Idempotency definitions. Also, add this note in the other section 2.2 (and fix up section numbering on this page too)</p>

<p>
 </p>
",150,"2014-10-15 12:48:03+00",150
"===",2955,3,"2014-02-10 20:56:51+00","2014-10-14 04:46:42+00","xpath version of invariant for XHTML4 does not include img tag","<p>
Inv-1 lists the tags that are allowed in a div. The textual description of the invariant correctly states that images are allowed, but the img tag is not included in the xpath statement of the invariant. xpath-based validators would therefore reject valid div elements unless the tag is added.</p>
",2942,"2014-10-15 10:31:09+00",150
"===",2956,3,"2014-02-10 22:37:05+00","2014-10-15 03:08:33+00","Document use of _id as search term on a binary resource","<p>
The spec says: ""there is no support for the search interaction"" - but there are corner cases for using the _id parmeter, and so this should be mentioned and allowed. ? is there use for a size parameter too? and a mime type search? </p>

<p>
 </p>
",150,"2014-10-15 10:31:17+00",150
"===",2957,3,"2014-02-11 08:31:09+00","2014-10-15 03:13:48+00","Repetitive text, needs rewording","<p>
The 1st and 2nd paragraphs are repetitive and slightly contradict each other.</p>

<p>
<strong>This specification assumes that content will be delivered from one application to another by some delivery mechanism, and then <u>a response</u> will be returned to the source application</strong></p>

<p>
vs.</p>

<p>
<strong>This specification assumes that content will be delivered from one application to another by some delivery mechanism, and then <u>one or more responses</u> will be returned to the source application.</strong></p>
",241,"2014-10-15 10:31:24+00",150
"===",2958,3,"2014-02-11 11:02:41+00","2014-10-15 03:19:40+00","Example uses invalid resource type","<p>
The example shown for references within contained resources uses the ""Document"" resource type which was a resource type that was superceded by ""Composition"" in the DSTU release.</p>

<p>
The examples need to be replace by correct ones.</p>
",241,"2014-10-15 10:31:31+00",150
"===",2962,3,"2014-02-12 21:48:22+00","2014-10-15 13:01:45+00","Put link in standard parameter verbiage","<p>
""The standard parameters also apply"" should have ""standard parameters"" as a link to the ""standard parameters"" section in Query.</p>

<p>
As well, the ""standard parameters"" section seems to talk about a bunch of stuff other than standard parameters and doesn't seem to expose the paging parameters, just _id (which we already list on each resource tab).</p>
",105,"2014-10-15 13:01:45+00",150
"===",2963,3,"2014-02-12 21:49:20+00","2014-10-15 03:30:40+00","Duplicate section numbers on search.html","<p>
There's two ""2.2"" sections and no ""2.1"" section</p>
",105,"2014-10-15 10:31:36+00",150
"===",2964,3,"2014-02-13 00:20:28+00","2014-12-07 17:50:31+00","Need to differentiate Observation and Condition","<p>
The introductions for Observation and Condition need to clearly differentiate when one should be used and when the other should be used.</p>
",105,"2014-12-07 21:23:56+00",2711
"===",2968,3,"2014-02-13 16:05:38+00","2014-10-15 10:31:57+00","Encounter-priority valueset has wrong (and duplicated) name and code system uri.","<p>
The valueset resource for encounter-priority contains the following:</p>

<p>
&lt;identifier value=""<a href=""http://hl7.org/fhir/vs/encounter-priority"">http://hl7.org/fhir/vs/encounter-priority</a>"" /&gt;</p>

<p>
&lt;name value=""Diet"" /&gt; &lt;!-- INCORRECT: should be ""Priority"" --&gt;</p>

<p>
&lt;define&gt;</p>

<p>
&lt;system value=""<a href=""http://hl7.org/fhir/diet"">http://hl7.org/fhir/diet</a>"" /&gt;  &lt;!-- INCORRECT: should be ""<a href=""http://hl7.org/fhir/encounter-priority"">http://hl7.org/fhir/encounter-priority</a>"" --&gt;</p>

<p>
I think these were incorrectly copy-pasted from the encounter-diet valueset.</p>
",413,"2014-10-15 10:31:56+00",150
"===",2969,3,"2014-02-13 16:09:59+00","2014-10-15 10:32:07+00","Location.identifier should have cardinality 0..*","<p>
The <strong>identifier</strong> element of the <strong>Location</strong> resource defines its cardinality as 0..1.  It should be 0..* like it is for most other resources.</p>
",413,"2014-10-15 10:32:07+00",150
"===",2970,3,"2014-02-13 20:48:47+00","2014-10-15 10:32:21+00","Add Supply as a type of activity under CarePlan","<p>
Suppoy is supported in the Simple representation, but isn't one of the allowed resources under CarePlan.activity.detail.</p>
",105,"2014-10-15 10:32:21+00",150
"===",2971,3,"2014-02-13 20:56:06+00","2015-02-13 17:56:17+00","Immunization.identifier definition is wrong","<p>
The Immunization.identifier element appears to be defined as ""A unique identifier assigned to this adverse reaction record"". Should this definition be updated to reflect it is a unique identifier assigned to this immunization (not adverse reaction)?</p>
",105,"2015-02-13 17:56:17+00",3261
"===",2972,3,"2014-02-14 14:58:13+00","2015-01-22 20:53:47+00","Rename DocumentReference.description to DocumentReference.title ","<p>
Can the DocumentReference.description be renamed to DocumentReference.title for consistency with Composition.title?<br />
* Composition.title is defined as ""Official human-readable label for the composition""<br />
* DocumentReference.description is defined as ""Human-readable description of the source document. This is sometimes known as the title.""</p>
",413,"2015-01-22 20:53:47+00",1078
"===",2973,3,"2014-02-15 11:39:40+00","2014-10-15 10:32:31+00","Fix coding errors in Examples","<p>
The HTML you describe at <a href=""http://hl7.org/implement/standards/fhir/observation-example-f201-bmi.html"">http://hl7.org/implement/standards/fhir/observation-example-f201-bmi.html</a> only displays the narrative. It does not decode any codes!!!<br /><br />
Yes, there is a BMI encoded correctly with 60621009 from SNOMED and 39165-5 from LOINC. <br />
BUT, there is an Observation immediately above that for weight, with the same SNOMED code 60621009 but a display value of ""Weight"". The SNOMED code is incorrect!<br /><br />
The fact that you can't see the error when you glance quickly at the XML proves my point!!<br /><br />
Yes, I have found other errors in the samples.<br />
There are several errors in the sample NZ discharge summary document-example-dischargesummary(father).xml, including an invented UCUM code 'tbl'. I also recall in another sample, a code 'g/cm-2' also claiming to be a UCUM code.<br />
there are also the LOINC mismatch errors (molar concentration instead of mass concentration)<br />
 </p>
",150,"2014-10-15 10:32:31+00",150
"===",2974,3,"2014-02-15 15:49:41+00","2014-10-16 00:30:26+00","Tags, Bundles, Compartments and Binary Resources needs an Examples tab","<p>
All of the Resource pages have XML &amp; JSON examples. Section 1.12.2.0 would benefit from some, so that implementers can make sure that they can parse these things correctly. There are some Bundle XML examples on the site, but they're in other sections (e.g. document-example-dischargesummary.xml) and not easy to find.</p>
",2942,"2014-10-16 00:30:26+00",150
"===",2975,3,"2014-02-15 22:50:56+00","2015-01-12 04:28:10+00","Minor error in taglist XML definition","<p>
The category element of a taglist should either be an empty tag (which I'd guess is the intention) or show what the content of the element is supposed to be. Current it shows an open tag with no content:</p>

<p>
  &lt;category term=""[Tag URI]"" label=""[Tag Label]"" scheme=""<a href=""http://hl7.org/fhir/tag"">http://hl7.org/fhir/tag</a>""<u>&gt;</u></p>
",2942,"2015-01-12 04:28:10+00",150
"===",2976,3,"2014-02-15 23:25:00+00","2014-10-16 00:30:38+00","Need taglist example","<p>
The only place on the Web site that taglist is mentioned is in section 2.1.16. Although the XML definition is probably sufficient to figure out what's supposed to be in one, an example or two in XML and JSON would be helpful to implementers as input to unit tests, particularly since it's one of only three content types returned by servers (Resource and Bundle being the other two).</p>
",2942,"2014-10-16 00:30:38+00",150
"===",2985,3,"2014-02-17 17:08:47+00","2015-01-15 10:10:47+00","Explain tags in relation to Web Categories better","<p>
Explain that a FHIR TAG = RFC Category with scheme starting with ""<a href=""http://hl7.org/fhir/tag"">http://hl7.org/fhir/tag</a>""</p>

<p>
Since we have two paragraphs about Tags:</p>

<p>
<a href=""http://www.hl7.org/implement/standards/fhir/http.html#tags"">http://www.hl7.org/implement/standards/fhir/http.html#tags</a></p>

<p>
<a href=""http://www.hl7.org/implement/standards/fhir/extras.html"">http://www.hl7.org/implement/standards/fhir/extras.html</a></p>

<p>
It's not clear at 2.1.16 that the ""scheme"" of the Category as actually relevant to indicate that a category header contains FHIR tags.</p>
",2529,"2015-01-15 10:10:47+00",2529
"===",2986,3,"2014-02-17 22:32:00+00","2014-10-14 04:59:57+00","Add link to improve documentations on isModifier","<p>
The section to alter is <a href=""http://hl7.org/implement/standards/fhir/conformance-rules.html#isModifier"">http://hl7.org/implement/standards/fhir/conformance-rules.html#isModifier</a></p>

<p>
perhaps being a bit more explicit about the use of is-modifier in core elements and in extensions. The current wording is good for core elements but not extensions.</p>

<p>
Perhaps a paragraph about the use in extensions that states that the 'isModifier' flag is set in the profile where the extension is defined, and that a resource that contains that extension must use the 'modifierExtension' element name. Then, an example of a modifierExtension in a resource and an explicit link to ""<a href=""http://hl7.org/implement/standards/fhir/extensibility.html#modifierExtension"">http://hl7.org/implement/standards/fhir/extensibility.html#modifierExtension</a>"" </p>
",2582,"2014-10-15 10:36:56+00",150
"===",2987,3,"2014-02-18 00:32:29+00","","Improve documentation of must-Support","<p>
Add text like this to make it more obvious what the intended se of must-support is:</p>

<p>
- as an application designer, id set it to true to indicate that I couldn't exchange data with a system unless it supported a particular data</p>

<p>
- as a purchaser, I would set it to true in my profile I want systems to conform to</p>

<p>
- as a government project, I could publish my expectations as a formal standard</p>
",150,"2015-01-30 21:24:25+00",105
"===",2989,3,"2014-02-18 14:29:39+00","2014-10-15 10:37:00+00","Typo in  Procedure.date description","<p>
 4.6.5 Resource Procedure - Formal Definitions / Procedure.date</p>

<p>
Original text:</p>

<p>
Definition    The dates over which the procedure was performed. Allows a period to support complex<br />
procedures that span more *<strong><u>that</u></strong>* one date, and also allows for the length of the procedure<br />
to be captured.</p>

<p>
""That"" in BOLD needs to be replaced with ""than"".</p>
",413,"2014-10-15 10:37:00+00",150
"===",2990,3,"2014-02-18 14:32:49+00","2014-10-15 03:31:36+00","Add ObjectiveC to quick links","<p>
We currently have links for Java, C# and Pascal.</p>
",105,"2014-10-15 10:37:10+00",150
"===",2991,3,"2014-02-19 23:27:30+00","2014-10-15 03:35:53+00","DSTU R2 New resources","<p>
This is a place-holder to track all commits related to new resources that are part of the potential scope for the second DSTU release</p>
",105,"2014-10-15 03:35:53+00",150
"===",2998,3,"2014-02-20 16:28:01+00","2014-10-15 03:33:33+00","valueset name-part-qualifier references wrong system uri","<p>
The valueset <a href=""http://hl7.org/fhir/vs/name-part-qualifier"">http://hl7.org/fhir/vs/name-part-qualifier</a> uses ValueSet.compose.include to include codes from the ""<a href=""http://hl7.org/fhir/v3/EntityNamePartQualifier2"">http://hl7.org/fhir/v3/EntityNamePartQualifier2</a>"" code system.</p>

<p>
However, the system uri has a typo. It should be ""<a href=""http://hl7.org/fhir/v3/EntityNamePartQualifier"">http://hl7.org/fhir/v3/EntityNamePartQualifier</a><strong>R</strong>2"" (note the added ""R"").</p>
",413,"2014-10-15 10:37:31+00",150
"===",3001,3,"2014-02-21 19:08:32+00","2015-01-12 04:35:42+00","It's not possible to order a procedure","<p>
It's not possible to order a procedure. From the order documentation:</p>

<p>
Note that a resource may only be used for the order details if the definition for the resource used in the detail explicitly defines how it is known to be something requested, as opposed to (for instance) something that has happened. </p>

<p>
procedure does not have such a definition, so procedures can't be ordered.</p>

<p>
 </p>
",150,"2015-01-12 04:35:42+00",150
"===",3002,3,"2014-02-24 06:55:05+00","2014-10-28 20:14:49+00","1.14.2.1.118.1  ObservationReliability VS  Consider adding concept of ""Presumptive"" for micro","<p>
In C &amp; S results I see a lot of ""presumptive"" findings such as ""Presumptive Organism X""  from microbiology Culture results.  The Laboratorian reports this out to the provider so they can act on this fuzzy knowledge while the sample may be sent to a reference lab for further testing. Sometimes this is as good as it gets.  (not to be confused when Presumptive is also used in another context  for political reasons usually for hot bugs like BSE and H5  when screen comes up positive the terms ""presumptive"" are prescribed and should be part of the result value vocabulary) </p>
",413,"2014-12-07 21:24:51+00",2711
"===",3003,3,"2014-02-24 07:00:36+00","2014-07-10 20:25:16+00","1.14.2.1.119.1  Observation Reference Range Meaning Codes publishing issue.","<p>
 ""..."" before many codes is confusing and took me while to figure out the grouping.  Redo the table with subheadings and lose the ""...""</p>
",413,"2014-07-10 20:25:16+00",2711
"===",3005,3,"2014-02-24 07:45:42+00","2014-10-14 21:56:05+00","1.13.3.5 Mappings for HL7 v2  Identifier.use  does not map to CX.5(Identifier Type Code) ","<p>
 Identifier.use  does not map to CX.5(Identifier Type Code) </p>

<p>
Identifier.label  is a maps to CX.5(Identifier Type Code)</p>

<p>
 </p>

<p>
example:  From PID</p>

<p>
PID.3[1] Patient Identifier List <br />
PID.3[1].1 ID Number: 18547545<br />
PID.3[1].4 Assigning Authority <br />
...<br />
PID.3[1].5 Identifier Type Code: <strong>MR</strong></p>

<p>
Mapped to....</p>

<p>
ELR_1_1_1.identifier[0].use=""usual"";<br />
ELR_1_1_1.identifier[0].label=""<strong>MR</strong>"";<br />
ELR_1_1_1.identifier[0].system=""urn:oid:2.16.840.1.113883.3.72.5.30.2"";<br />
ELR_1_1_1.identifier[0].value=""18547545"";<br /><br />
 </p>

<p>
 </p>

<p>
 </p>
",413,"2014-10-15 10:37:31+00",150
"===",3006,3,"2014-02-24 08:01:03+00","","4.15.6  Resource Observation - Examples need to show related propert in use for panel and calculated measurement","<p>4.15.6  Resource Observation - Examples need to show related property in use for panel and calculated measurement</p>

<p> </p>

<p>Currently none do. </p>
",413,"2015-02-12 23:10:22+00",2711
"===",3008,3,"2014-02-24 09:04:00+00","2015-01-12 04:36:42+00","Review usage of AllergyIntolerance.criticality","<p>
This item is based on extensive discussion on the FHIR email list (""Heather Leslie's comment on allergy intolerance"", February 2014), and discussion in disqus on the page (referenced above).</p>

<p>
Issues:<br />
* the value set for criticality is subjective, not objective</p>

<p>
* The clinical issues associated with the use of this field (which is commonly used) should be documented</p>

<p>
* the field is a candidate for moving out of the 80% into a documented extension</p>

<p>
* there is a related field that could be added as well or instead of the element, a contraindication field (values: ""true"", ""false"", ""unknown"", and maybe ""maybe"") - need to assess whether this is 80% or a documented extension</p>
",150,"2015-01-12 04:36:42+00",150
"===",3011,3,"2014-02-26 16:45:01+00","","CarePlan.activity.note needs further explanation","<p>
Need additional guidace on how this element is to be used (e.g. capturing constraints on what pre-conditions might exist for the activity, whether it's required or optional, etc.)</p>
",105,"2014-11-13 22:53:14+00",2210
"===",3012,3,"2014-02-27 14:13:49+00","2014-10-13 04:31:46+00","""RIM mappin g"" has extra space","<p>
Remove the extra space in ""mappin g""</p>
",105,"2014-10-15 10:37:34+00",150
"===",3014,3,"2014-02-28 02:48:34+00","2015-01-12 04:37:40+00","Odd symbols at end of short descriptions","<p>
""§"" is appearing at the end of several short descriptions</p>
",105,"2015-01-12 04:37:40+00",150
"===",3015,3,"2014-02-28 02:52:48+00","2014-10-15 10:37:55+00","Is there a reason to limit the subject of Questionnaire?","<p>
I expect there will be questionnaires about devices, medications, organizations, practioners and possibly quite a few other things.  I could understand just Patient, but if you're going to add RelatedPerson, why not other things?</p>
",105,"2014-10-15 10:37:55+00",150
"===",3019,3,"2014-03-03 19:57:43+00","2014-07-31 19:42:41+00","Need missed + rescheduled state added to Encounter.status","<p>
The Encounter status is defined as <em>planned | in progress | onleave | finished | cancelled</em>.</p>

<p>
The Virtual Medical Record for Clinical Decision Support (vMR-CDS) defines a MissedAppointment an appointment that was (i) scheduled, (ii) not rescheduled or canceled, and (iii) for which the EvaluatedPerson did not show up.</p>

<p>
 </p>

<p>
To be able to represent a MissedAppointment need to add ""missed"" to the encounter value list. Likewise, if an encounter was rescheduled also want to add a ""rescheduled"" state. In the rescheduled case, the <strong>Encounter.partOf</strong> field could reference the new scheduled encounter.</p>
",413,"2015-02-03 00:05:08+00",105
"===",3020,3,"2014-03-03 20:54:58+00","2014-10-15 03:39:48+00","Extension repository search/submit broken","<p>
Table in Control of extensions defines interim repository search with URL: <a href=""http://hl7connect.healthintersections.com.au/svc/fhir/profile/search"">http://hl7connect.healthintersections.com.au/svc/fhir/profile/search</a></p>

<p>
Submit entry has URL: <a href=""http://hl7connect.healthintersections.com.au/svc/fhir/profile/upload"">http://hl7connect.healthintersections.com.au/svc/fhir/profile/upload</a></p>

<p>
Clicking either URL reports an error. <strong>Document /svc/fhir/profile/search not found</strong></p>

<p>
base URL with links: <a href=""http://www.hl7.org/implement/standards/fhir/extensibility.html#definition"">http://www.hl7.org/implement/standards/fhir/extensibility.html#definition</a></p>

<p>
URLs need to be updated or removed until search/submit mechanism is working.</p>
",413,"2014-10-15 10:38:35+00",150
