"start","tracker_item_id","comment_date","comment","submitted_by"
"===",2853,"2014-01-22 15:26:29.269898+00","<p>
We shouldn't allow extensions under ""contained"".  Need to fix the schema.</p>
",105
"===",2853,"2014-10-02 04:24:23.569695+00","Remove assignee until ITS can allocate in teleconference.",414
"===",2853,"2014-10-02 22:21:03.109331+00","<p>
Don't see this in the lipid example</p>
",150
"===",2853,"2014-10-07 18:24:34.359877+00","Assigned to Paul for completion",414
"===",2853,"2014-10-14 23:11:55.270025+00","<p>
svn revision 3027 (add narrative, schema already doens't allow extensions)</p>
",150
"===",2854,"2014-10-14 23:15:35.703967+00","<p>
Already fixed e.g.</p>

<p>
&lt;type&gt;<br />
  &lt;code value=""Reference""/&gt;<br />
  &lt;profile value=""#Cholesterol""/&gt;<br />
&lt;/type&gt;</p>
",150
"===",2855,"2014-10-14 23:21:22.057147+00","<p>
All have required mapping:<br />* Profile.structure.element.definition.type.code<br />
* Profile.structure.type<br />
* Conformance.rest.resource.type<br />
* Conformance.rest.resource.type<br />
* Conformance.messaging.event.focus</p>

<p>
Mime Types:<br />
* Conformance.rest.security.certificate.type<br />
* DocumentReference.mimeType<br />
- mime types include extensibility in the syntax, but the value set of valid mime types is required<br />
 </p>

<p>
No changes required.</p>
",150
"===",2855,"2014-10-15 00:32:12.550907+00","<p>
Error in terminology notes generator; fixed svn revision 3029</p>
",150
"===",2856,"2014-01-29 16:31:44.455447+00","<p>
I have changed ProfileGenerator.java to split Resource(A|B|C) up into several TypeRefs, each with type=""ResourceReference"" and profile=#A. This led to the InstanceValidator triggering a validation warning (multiple types?). After I changed that, the ProfileValidator now gives an error, because when filling out a differential profile (in this case the diagnosticreport lipids example), these will result in several repeats of the TypeRef node (with type=ResourceReference) without the differing profiles. In other words, the specified profile on the base resource profile doesn't yet get correctly filled out. I tried to fix this in ProfileValidator's filloutElementDefn(ElementDefn n, ElementComponent e), but it doesn't seem to work.</p>

<p>
 </p>
",2529
"===",2856,"2014-10-14 23:23:28.83416+00","<p>
now all fixed up. Marking as applied</p>
",150
"===",2864,"2014-05-08 17:35:21.314062+00","<p>
It's not really true for documents either.  Composition.text may well include some summary information about the author, custodian, etc. if this is considered important for human understanding of the document.  (It won't be rendered by the rendering algorithm for displaying a document for authentication.)  In List, we explicitly say that the List SHALL include summary information about the resources referenced in the List (often in a table form).  Otherwise, when you have a List referenced in a Composition.section, the content of the list wouldn't be rendered in the Document display.  We have some work to do in making the rules consistent or at least making very clear what the exceptions are and why they exist.  More discussion for core team required.</p>

<p>
Woody/Bill 11/0/0</p>
",105
"===",2864,"2014-10-22 19:29:33.31248+00","<p>
Agree that a list resource narrative includes elements of the item content (data or narrative) in the list. We don't say that this should be true about documents either. Maybe the language there needs some clarification</p>
",150
"===",2864,"2015-01-13 15:55:34.01872+00","<p>
I'd suggest the following as general documentation (in ""narrative.html""): Narrative for a resource should include summary information about referenced resources as necessary for a consumer of the resource to be able to understand the key essential information about a resource without retrieving additional resources.  For example, the narrative for a MedicationPrescription might include summary information about the referenced patient, prescriber and medication.  Some resources (e.g. List, Composition) may provide specific rules about what content must (or must not) be included in the resource narrative.  Consideration should be given to the fact that referenced resources may be updated without updating referencing resources, so the proportion of content of a referenced resource included in a referencing resource should be limited.</p>
",105
"===",2865,"2014-09-19 17:29:31.528723+00","<p>
BRIGHT group of FHIR knowledgeable participants tried to sort this out.  No answers, but conclusions:</p>

<p>
1. Two GETs for compartment in <strong>2.1.11 search </strong>appears ambiguous</p>

<p>
      Question patient/1234 is searching for patient/1234 or</p>

<p>
       Is it searching within the space of patient/1234</p>

<p>
2. Need to clarify whether:</p>

<p>
        compartment = ""resource"" OR</p>

<p>
        compartment = ""resource/id""</p>

<p>
3. Need to clarify interactions between compartments and security tags</p>
",106
"===",2865,"2014-12-03 03:41:12.66542+00","<p>
suggest clarifying formats in the spec:</p>

<p>
(from a skype conversation on december-3)</p>

<p>
GET [base]/[compartment]/[id]/*</p>

<p>
and</p>

<p>
GET [base]/Patient/[id]/$everything</p>
",2582
"===",2865,"2014-12-03 03:45:00.074149+00","<p>
added to svn:<br /><br />
make the search on all types as /* to remove the ambiguity. Link to the $everything operation from the place where the /* syntax is described. </p>

<p>
Don't know what this means: ""Need to clarify whether: compartment = ""resource"" OR compartment = ""resource/id"""" - what about that way compartments are defined is ambiguous in regard to this question? </p>
",150
"===",2865,"2015-01-12 04:21:42.248446+00","<p>
ITS to review - is this already agreed to? agree to current spec if not. </p>
",150
"===",2866,"2014-05-09 18:24:40.270514+00","<p>
<br />
 </p>
",106
"===",2866,"2014-10-14 23:26:53.31326+00","<p>
svn revision 3028</p>
",150
"===",2874,"2014-01-27 21:27:24.612727+00","<p>
Did a little hunting. The correct URL should be <a href=""http://www.rfc-editor.org/bcp/bcp13.txt."">http://www.rfc-editor.org/bcp/bcp13.txt.</a></p>
",2942
"===",2874,"2014-10-14 22:17:04.604791+00","<p>
Already fixed</p>
",150
"===",2881,"2014-05-04 05:12:51.241317+00","<p>
Is there a precept to avoid v3-specific terminology?</p>
",105
"===",2881,"2014-10-15 00:36:15.452614+00","<p>
svn revision 3030, but none of these changes matter. Bring this task back to like if there's anything I missed.</p>
",150
"===",2882,"2014-10-15 00:37:24.498796+00","<p>
Already fixed</p>
",150
"===",2884,"2014-06-20 09:10:45.99727+00","<p>
Applied for DSTU1</p>
",2529
"===",2886,"2014-10-22 19:22:54.998381+00","<p>
what else other than supercedes? possible: defined for use from... but that creates circular references...</p>
",150
"===",2886,"2014-11-05 21:48:07.388163+00","<p>
Lloyd: Suggest adding an element of ""replaces"" 0..1 and ""compliesWith"" 0..*.  Also add corresponding search criteria.  Not happy with a ""typed"" association.</p>

<p>
Would it be better to point from retired profile to replacing profile or vice versa.  Should there be constraints on when ""superceded"" can be present?  E.g. Can only have if status=retired?  Also would need to define exactly what ""supercedes"" means.</p>

<p>
Push this back for further definition.  Grahame/Ewout - any more comments</p>
",105
"===",2886,"2014-11-17 10:54:43.934945+00","<p>
- it would be wrong to point from retired to replacing. That violates our general rule about pointing backwards in time not forwards</p>

<p>
- courtesy of the rework to profile, we now have 'base""- how is that different from ""complies with""</p>

<p>
- we don't have supercedes in any of the other conformance layer resources</p>

<p>
 </p>
",150
"===",2886,"2014-11-17 14:50:58.323095+00","<p>
Well, the retired has to be updated to change the status to be retired.  In doing so, pointing to what you're replacing it with seems reasonable.  And it's a whole lot more useful that way.</p>

<p>
Base is 0..1.  Complies with would be 0..*</p>

<p>
Agree that this isn't necessariliy specific to Profile.  Could apply to ValueSet and possibly Conformance.  Not sure it would make sense elsewhere.</p>
",105
"===",2886,"2014-11-19 03:14:59.122744+00","<p>
but you can't assume that you can chase down every copy of a profile to update it to point forwards. </p>

<p>
You still haven't defined the difference between based and complies. I don't understand why you'd record complies - it seems very fragile</p>

<p>
 </p>
",150
"===",2886,"2014-11-19 03:55:51.183292+00","<p>
Based says ""here's the starting point against which deltas are applied"".  Complies says ""this compile profile complies with this other profile too"".  There can only be one base.  There can be 0..* additional complies.</p>

<p>
Any copy of a profile you don't chase down is going to continue to have a status of ""active"" instead of ""retired"".  Really, all you should need to do is update the source of truth copy (the one where id = identifier).  Everyone else is responsible for keeping their copy up-to-date with that copy (if they care about changes like retirement/replacement/etc. at all).</p>
",105
"===",2886,"2015-01-12 04:23:47.725569+00","<p>
I don't know of a use case for Complies. Does it exist anywhere else in any HL7 , dicom, or IHE spec? I don't recognise the concept from any real spec.</p>
",150
"===",2887,"2014-10-13 04:32:48.250754+00","<p>
Done as a cumulative of many changes of a 3 month period, and complete</p>
",150
"===",2888,"2014-10-14 22:13:42.128188+00","<p>
svn revision 3023</p>
",150
"===",2889,"2014-10-01 23:07:10.931238+00","This item requires MnM approval adding the content, changed the responsible WG.",414
"===",2889,"2014-11-17 06:40:23.003207+00","<p>
Done as part of #3728</p>
",150
"===",2942,"2014-10-15 02:18:01.382887+00","<p>
Only the document reference one left. Should that be an operation now? </p>
",150
"===",2942,"2015-01-12 04:31:58.874377+00","<p>
review document operations - should there be a general mailbox opeation (= IHE XDR) or should there be specific operations for the various different outcomes?</p>
",150
"===",2942,"2015-03-15 22:04:53.061801+00","<p>
no longer relevant - _query replaced by operations sub system</p>
",150
"===",2945,"2014-07-24 21:04:56.738781+00","created example resource.",2711
"===",2946,"2014-10-15 02:27:43.78787+00","<p>
fixed svn revision 3031</p>
",150
"===",2947,"2014-02-08 01:35:29.645819+00","<p>
The same issue occurs in the following sections:</p>

<p>
1.14.2.1.168<br />
1.14.2.1.331<br />
1.14.2.1.157</p>

<p>
and quite possibly elsewhere.</p>
",2942
"===",2947,"2014-02-10 20:52:18.722654+00","<p>
Grahame has kindly explained the difference between coding set identifiers and value set identifiers, and this is therefore an erroneous request. I would therefore like to retract this change request, but I'm not authorized to do so. Would someone who does have authority do so for me, please?</p>
",2942
"===",2947,"2014-10-15 02:29:21.975517+00","<p>
Rejected per use request</p>
",150
"===",2948,"2014-10-15 02:54:09.125848+00","<p>
This has several problems<br />
- XDS is using ""mime type""<br />
- digital signatures are using ""mime type""<br />
- we already have a value set ""media type"" which is something else <br />
 </p>

<p>
Given that this is a change that doesn't actually need to be made, I recommend that we not make it. Request revisiting this decision</p>
",150
"===",2948,"2015-01-12 04:25:31.882364+00","<p>
ITS to review. </p>
",150
"===",2948,"2015-01-19 22:54:07.216278+00","<p>Motion: It is acceptable to continue to use the term Mime Type even though IANA has now moved to Media Type.</p>

<p>Mike H/Brian 16/0/0</p>

<p>In the Media resource there is a value set called MediaType which may be confused with the IANA term which we suggest be renamed to something else such as DigitalMediaType.</p>

<p> </p>
",3074
"===",2948,"2015-01-23 20:54:35.849421+00","<p>
I am confused as to the agreement. The notes seem to indicate that no change, yet the Reason field says it should be changed. Please clarify.</p>
",1078
"===",2948,"2015-02-08 01:22:28.340515+00","<p>
I have changed DocumentReference to use the datatype Attachment. So this CP now needs to change Attachment.</p>
",1078
"===",2948,"2015-03-11 08:14:13.720863+00","<p>
The only thing left to follow up on here, it seems, is to consider renaming the name of the valueset in Media (MediaType), since IANA now uses this as a synonym to ""Mime Type"".  Is the proposed change to ""DigitalMediaType"" acceptable?</p>
",2529
"===",2948,"2015-03-14 18:32:12.41623+00","<p>
renamed value sets - svn 4522</p>
",150
"===",2949,"2014-09-18 02:00:46.597861+00","<p>
While releasing a piece of software multiple times per day is theoretically possible, surely it's no-where close to the 80%.  If someone needs to communicate time, they can use an extension.  It shouldn't be part of Core.</p>
",105
"===",2949,"2014-10-13 06:45:06.362031+00","<p>
Applied SVN revision 2993</p>
",150
"===",2953,"2014-10-02 18:44:59.172242+00","<p>
There's a separate issue where in some environments, they expect to do *all* searches using POST to avoid exposing search parameters in the URI on the premise that URIs are logged but bodies are not.  Any resolution to this issue needs to take that usage into account.</p>
",105
"===",2953,"2014-10-02 21:47:10.642522+00","<p>
Note that when I did the work to implement operations, I went for a simpler URL syntax, instead of what this task records, based on a revised understanding of how name conflict can be resolved (but see task 3585)</p>
",150
"===",2953,"2014-10-15 12:48:03.410178+00","<p>
idempotency: Svn revision 3074. Others done over a few months as part of defining services</p>
",150
"===",2955,"2014-10-14 04:45:55.111614+00","<p>
fixed SVN revision 3006</p>
",150
"===",2956,"2014-10-15 03:08:32.988753+00","<p>
svn revision 3032</p>
",150
"===",2957,"2014-10-15 03:13:48.802565+00","<p>
svn revision 3033</p>
",150
"===",2958,"2014-10-15 03:19:39.364583+00","<p>
svn revision 3034</p>
",150
"===",2962,"2014-10-15 13:01:45.307936+00","<p>
svn revision 3075</p>
",150
"===",2963,"2014-10-15 03:30:40.045823+00","<p>
fixed svn revision 3036</p>
",150
"===",2964,"2014-06-12 15:56:35.482067+00","<p>
Need to discuss with Patient Care</p>
",2263
"===",2964,"2014-07-03 17:23:21.244547+00","<p>
Scheduled for discussion at September WGM with Patient Care joint session.</p>
",3064
"===",2964,"2014-07-03 19:49:46.629672+00","see attached for some background and suggestions to start discussion.",2711
"===",2964,"2014-09-11 17:42:49.549201+00","<p>
Will be discussed Wednesday Q3 fo the Sept WGM.<br />
 </p>
",3064
"===",2964,"2014-09-17 21:28:43.939914+00","<p>Discussed with PC and agreed to propose editing the intro and notes in Observation resource as follows:</p>

<p>1)  Under section 4.15.1 Scope and Usage remove bullet line "" •Diagnoses (Note: trackable conditions, allergies, adverse reactions and more complex structures are handled elsewhere""</p>

<p>2)  Change •Clinical assessments such as APGAR  to   •Clinical assessments tools such as APGAR</p>

<p>3)  Add 'Boundaries and Relationships' section:  Which paraphrasing would list other resources that are all specialized observations including Condition resource which covers diagnosis and problem lists. They should be used for those contexts instead of Observation and ideally there should be no overlap.   Alas, some observations may be diagnosis and problems.</p>

<p>Next step is to draft text and distribute to PC and OO.</p>
",2711
"===",2970,"2014-06-11 04:58:18.20347+00","<p>
Approved by PC 20130529</p>
",105
"===",2971,"2015-01-12 04:32:26.668127+00","<p>
can be rejected if the immunization resource is removed.</p>
",150
"===",2972,"2014-05-09 18:43:07.468175+00","<p>
Need review by Moehrke</p>
",106
"===",2972,"2015-01-12 04:27:31.625884+00","<p>
I don't mind either way. It's a question of which consistency is more important.</p>
",150
"===",2973,"2014-07-03 17:25:30.695605+00","<p>
Eric will check whether the build included the updates.</p>
",3064
"===",2973,"2014-07-06 01:42:23.1399+00","1) updated examples and  corrected several coding errors.  Grahame balked at the idea of fixing bad codes vs fixing coding errors so I attached changes for review before commiting. See attached.

2) HTML rendering tool is not rendering the reference range tables correctly need to follow up with Grahame.
",2711
"===",2974,"2014-10-02 11:51:17.222331+00","<p>
should add references to the ones that exist</p>
",150
"===",2974,"2014-10-16 00:30:26.131993+00","<p>
svn revision 3083 and 3084</p>
",150
"===",2975,"2014-10-07 18:26:42.21811+00","Changed to waiting for input from Tags discussion currently ongoing",414
"===",2975,"2015-01-12 04:28:10.08452+00","<p>
closed - tag list no longer exists</p>
",150
"===",2976,"2014-10-02 11:51:49.671579+00","<p>
Agree to adding an example</p>
",150
"===",2976,"2014-10-16 00:30:38.72386+00","<p>
svn revision 3083 and 3084</p>
",150
"===",2985,"2014-10-02 15:03:12.124978+00","Currently no one is working on this item, to be assigned by ITS",414
"===",2985,"2014-10-07 18:28:53.315422+00","Awaiting input from the Tags discussion",414
"===",2985,"2015-01-12 04:29:15.405069+00","<p>
editor to review new meta documentation to see if the relationship is clear. </p>
",150
"===",2985,"2015-01-13 09:16:18.880823+00","<p>
Since our Tags are no longer based on the Category RFC, this issue is no longer relevant. I have read the current wording and it is clear as it stands.</p>
",2529
"===",2986,"2014-10-14 04:59:57.810398+00","<p>
Done. svn revision 3008</p>
",150
"===",2987,"2015-01-12 04:30:46.83221+00","<p>
editor to propose revised wording</p>
",150
"===",2990,"2014-10-15 03:31:36.579687+00","<p>
Marked as done. It's there as ""iOS"". </p>
",150
"===",2991,"2014-10-15 03:35:52.993312+00","<p>
People aren't using tasks, and if they do, they should have task specific tasks</p>
",150
"===",2998,"2014-10-15 03:33:33.668506+00","<p>
already fixed for a different task. Closing as done.</p>
",150
"===",3001,"2014-02-21 21:50:57.04618+00","<p>
Referral is in scope for this release.  While referrals are orders for care, this is frequently the mechanism used for ordering procedures - you're referred to a surgeon or to an occupational therapist or physio therapist or psychologist or whatever.  I haven't typically seen orders for ""procedures"" except as encompassed in a referral. Once Referral exists, do you think we'll have a need for another resource?  (And if so, what would be the guidance on when to use one vs. the other?)</p>
",105
"===",3001,"2014-11-02 17:32:19.632964+00","<p>
What about a ""planned"" procedure? </p>

<p>
A dermatologist sees a patient and performs an examination and plan to perform a biopsy (a planned procedure).If he will perform the procedure himself neither an ""order"" nor a ""referral"" will be created. </p>

<p>
Will a ""plan"" resource be needed?</p>

<p>
I'm looking for something that is planned - that may or may not happen - has not been ordered nor need to be referred for someone else to do. </p>
",3134
"===",3001,"2014-11-02 20:45:43.131154+00","<p>
The expectation is that a new resource called ProcedureRequest or ProcedureOrder will be created.  It will likely include an ability to allow it to represent requests.</p>
",105
"===",3001,"2015-01-12 04:35:42.400645+00","<p>
ProcedureRequest is defined now.</p>
",150
"===",3002,"2014-06-11 06:57:48.795274+00","<p>Proposal to add following codes to 1.14.2.1.118  Value Set for codes in <a href=""http://hl7.org/fhir/observation-reliability"">http://hl7.org/fhir/observation-reliability</a></p>

<p>Presumptive  An initial diagnostic test result.  Confirmatory tests are required to confirm the analysis.</p>

<p>Confirmed  A results which confirms whether or not an initial diagnostic test result is correct.</p>
",2711
"===",3002,"2014-06-30 21:59:50.566717+00","Changed wording to ...
Presumptive:  An diagnostic test result where further testing would be required for a definitive result.

Confirmed:  A results which confirms whether or not an initial diagnostic test result is correct.
",2711
"===",3002,"2014-07-03 17:38:47.322554+00","<p>
There are questions about observation.reliability as its current definition does not map to OBX.8 or OBX.9.  OBX-8 maps to Interpretation.  OBX-9 does not fit well as it is a probability.  Then we can determine whether reliability is in the 80/20 - we don't believe so, but are open.  Then we can determine where presumptive and confimed fit in.</p>
",3064
"===",3002,"2014-09-11 17:43:58.184884+00","<p>
Need to decide whether this a required field.  Will be discussed at the Sept WGM, Wednesday Q3.</p>
",3064
"===",3002,"2014-09-11 20:23:16.415849+00","<p>
Reliability isn't actually core. It's included on other grounds - that it is core for devices, that is actually applicable for all observations, even if its not core, that when it's present, it's a modifier that can't be ignored - for which standard recommendation is that it be 1..* since what does it mean if it's not present? the fact that we have so much observational data of unknown reliability is actually rather sobering. But since it is very often unknown, it really can't continue to be 1..1, and should be changed to 0..1. I still believe that the fact is is a modifier and core in some of the sub-domains justifies it's inclusion</p>
",150
"===",3002,"2014-09-12 21:57:36.313405+00","<p>RE  question if this is in scope of .reliability   to add to next week's discussion.</p>

<p>""~~One of the conditions in device measurements is the inability to take the measurement correctly and the device reports NaN, +/-Inf, or might have a resolution problem. In PCD-01 HL7 V2.6 messages these are reported as part of OBX-8 as one of the possible error conditions. Is there a way to report these in a FHIR Observation?""</p>
",2711
"===",3002,"2014-09-13 19:24:37.825459+00","<p>
No matter what happens here, the definition of ""unkonwn"" for Observation.reliability needs to be fixed.</p>

<p>
 </p>

<p>
It currently reads: ""unknown: No observation value was available.""</p>

<p>
 </p>

<p>
It should say ""unknown: No observation *reliability* value was availabe.""</p>
",2904
"===",3002,"2014-10-14 00:54:46.22732+00","<p>Pending  ...</p>

<p>Proposal to change observation.reliability Cardinality from 1..1 to 0..1 and to modify the comments to reflect that  a reliability indicator often will not be there:</p>

<p> ""Note that in most contexts, unreliable results are not recorded, deleted, or otherwise excluded, but it's not always possible to exclude them from the record. If the reliability indicator is valued, Interpreters of a result, whether human or machine, SHALL should always either be aware of the status.  or prevented from using the observation without being unaware that the reliability is not ""ok"". [editor note: I don't see how this last bit can even be implemented if is not even present- leave up to individual implementation to create business rules around this]</p>

<p>Re:  Josh's comment the current definition of the reliability code ""unknown' is correct.   So no change there.</p>

<p> </p>

<p> </p>
",2711
"===",3002,"2014-10-14 02:07:36.789081+00","<p>
Don't agree about Josh's comment - I think Josh is correct, and the current definition is wrong.</p>
",150
"===",3002,"2014-10-14 17:20:08.839374+00","<p>OK I got confused looking at the other codes conflating the reliabiltiy with status.</p>

<p>These two reliablity codes here:</p>

<p>'error'   The observation could not be completed because of an error.<br />
unknown '  No observation value was available.</p>

<p>Seem a lot like status codes  namely:</p>

<p>'cancelled'   The observation is unavailable because the measurement was not started or not completed (also sometimes called ""aborted"").</p>

<p>So changing unknown to ~~No observation reliablity value was available.   makes a lot of sense but what about 'error'  isnt that really a status?</p>

<p> </p>
",2711
"===",3002,"2014-10-14 19:32:59.25513+00","<p>
well, if status is an error, then does it mean preliminary? final? amended? </p>
",150
"===",3002,"2014-10-28 01:43:19.384851+00","<p>Before I apply this the code there seems to be some overlap between the concepts in ~~ObservationReliability and the newly added ~~DataAbsentReason.</p>

<p>DataAbsentReason Code: 'error'   Some system or workflow process error means that the information is not available<br />
ObservationReliability Code: 'error'  The observation could not be completed because of an error.</p>

<p>I don't think 'error' belongs in reliability if DataAbsentReason is an element.</p>

<p> </p>

<p> </p>

<p> </p>
",2711
"===",3002,"2014-10-28 01:58:26.138179+00","<p>
well, what you put in reliability if the data absent reason indiates an error?</p>
",150
"===",3002,"2014-10-28 20:14:49.714288+00","<p>.datanotpresent = ""error'   .reliability absent </p>

<p>Its an error. having ""error"". ""error"" seems redundant.  I will think about this some more and decide later if warrents a new Gforge issue.</p>
",2711
"===",3002,"2014-10-28 20:21:46.156797+00","<p>
I could go with that - it would be good to put an explicit note in to this effect</p>
",150
"===",3003,"2014-07-10 20:25:16.408222+00","updated version display resolves my issues so Withdrawn
",2711
"===",3005,"2014-10-14 21:56:05.119018+00","<p>
svn revision 3022</p>
",150
"===",3006,"2014-02-24 08:36:29.122489+00","<p>
The BMI example does. <a href=""http://hl7.org/implement/standards/fhir/observation-example-f201-bmi.html"">http://hl7.org/implement/standards/fhir/observation-example-f201-bmi.html</a></p>
",150
"===",3006,"2014-06-26 23:42:19.679561+00","Woul like additional examples that show how the following related types are implemented

has-component   The target observation is a component of this observation (e.g. Systolic and Diastolic Blood Pressure). =COMP 

has-member   This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group. =MBR 
",2711
"===",3006,"2014-09-11 17:45:04.098764+00","<p>
Eric Haas will provide examples.</p>
",3064
"===",3006,"2014-12-09 16:59:42.25741+00","<p>also need assessment tool example like GlasgoW  see:</p>

<p><a href=""http://www.choa.org/~/media/CHOA/Documents/Services/Concussion/Concussion-glasgow-coma-scale.pdf"">http://www.choa.org/~/media/CHOA/Documents/Services/Concussion/Concussion-glasgow-coma-scale.pdf</a></p>
",2711
"===",3006,"2014-12-16 15:56:00.273889+00","<p>
Please email jsolana@indra.es when the Glasgow example is committed</p>
",105
"===",3008,"2014-02-24 09:05:21.89759+00","<p>
actually, discussion was on patient-care mail list</p>
",150
"===",3008,"2014-02-24 09:45:48.082767+00","<p>
The contra-indication field: value = blank or ""possibly true"" (not true / false / maybe)?</p>
",150
"===",3008,"2015-01-12 04:36:41.971977+00","<p>
already in updated definitions</p>
",150
"===",3012,"2014-10-13 04:31:46.778376+00","<p>
done svn revision 2984</p>
",150
"===",3014,"2014-10-15 21:11:23.311719+00","<p>
I can't find a better character. I don't mind moving to next to conformance. I could get rid of it altogether, or generate a summary only XML view</p>
",150
"===",3014,"2014-10-15 21:54:31.730034+00","<p>
Would an upper-case bold S not be clearer - particularly if it came before the description?</p>
",105
"===",3014,"2014-10-23 05:12:25.011155+00","<p>
svn revision 3245: removed the summary marke from the XML, and documented the table view instead. </p>
",150
"===",3015,"2014-03-10 17:40:33.863086+00","<p>
(From Ewout): ""Yes, we do not have Reference(any) on all elements, since this would require all systems implementing FHIR to be able to track these references. So, we try to limit the references to references that most systems are expected to track already. It's conceivable we've missed some useful possibilities (Group?), can you indicate what resources you'd like to refer to in subject?""</p>

<p>
(Put discussion in the follow-up section, not the ""agreed change"" section :&gt;)</p>

<p>
I see Patient being in the 80%.  I see RelatedPerson as being pretty unlikely.  If you're doing a family history, odds are that all relatives will be tracked as part of a single questionnaire - which will still be a subject of Patient.  I expect that Medication, Device, Organization, Location and possibly Practitioner could all see use.  My suggestion would be to either add those or drop RelatedPerson.  (And note that other subjects can be noted via extension.)</p>
",105
"===",3015,"2014-05-06 14:42:26.706986+00","<p>
Consensus from Connectathon was to remove RelatedPerson (it was added for reasons that don't actually turn out to be true).  Also add a note that Questionnaires *can* be about other subjects (handled as extensions) and open issue about differentiating subject &amp; recordTarget (e.g. may have a questionnaire that's about a device that's also patient-specific and thus should live on their record)</p>
",105
"===",3019,"2014-03-03 20:08:16.902097+00","<p>
I would say that ""missed"" and ""rescheduled"" are both sub-types of ""cancelled"".  So these could be handled by sending ""cancelled"" and then using an extension to capture the further differentiation.  That doesn't mean that adding the new codes would be inappropriate (if we deem them within the 80%).  We would need to make very clear what the boundaries were though so that there was no overlap between the codes.  We'd probably have to go hierarchical as not all systems would necessarily distinguish.</p>
",105
"===",3019,"2014-03-03 21:17:10.815037+00","<p>
Assume the current value list as implemented is flat:  [ <em>planned | in progress | onleave | finished | cancelled ]</em></p>

<p>
Could represent a hierarchical list with sub-types with slash (/) or semi-colon (;) without using an extension to the status element.</p>

<p>
e.g. <em>cancelled/missed, cancelled/rescheduled, etc.</em></p>
",2976
"===",3019,"2014-03-03 22:18:07.305252+00","<p>
Value sets in FHIR don't have to be flat.  We can define (and publish) them as hierarchical when necessary.  As a rule, reflecting the hierarchy in the display names is frowned upon.  It tends to make them long.  However, we'll look to the patient administration work group to suggest the most appropriate (least likely to be confused) names.</p>
",105
"===",3019,"2014-07-31 12:35:08.339779+00","<p>~~The WG considers ""missed"" and ""rescheduled"" to be status' more appropriate for appointments rather than for encounter. These status' should be checked in the appointment resource status.<br />
 </p>
",2909
"===",3019,"2015-02-02 13:25:38.720408+00","<p>
I did not submit this. Handing back to last submitter.</p>
",413
"===",3019,"2015-02-02 16:54:24.087869+00","<p>
I concur that <em>canceled </em>can cover '<em>missed</em>' status (aka <em>noshow</em>) given the Appointment.status codes: { <em>pending | booked | arrived | fulfilled | </em><em>cancelled</em><em> | </em><em>noshow</em> }</p>

<p>
'rescheduled' case could be represented as canceled but not the best mapping.</p>
",2976
