"start","tracker_item_id","field_name","field_type","field_data","tracker_extra_field_id"
"===",2855,"Section number",4,"",3631
"===",2855,"Target release",8,"100",3632
"===",2855,"Agreed change",6,"",3633
"===",2855,"Reason",6,"",3634
"===",2855,"For WGM Review by",1,"100",3911
"===",2856,"Status",7,"13093",2415
"===",2856,"Ballot Resolution",1,"100",3969
"===",2856,"Pre-applied?",3,"100",3910
"===",2856,"Backward Compatible?",1,"14309",3847
"===",2856,"url",4,"",3842
"===",2856,"Category",1,"13098",3626
"===",2856,"Reviewing Work Group(s)",5,"14030",3628
"===",2856,"Resource(s)",5,"14077",3807
"===",2856,"HTML Page",5,"100",3808
"===",2856,"Section number",4,"",3631
"===",2856,"Target release",8,"100",3632
"===",2856,"Agreed change",6,"",3633
"===",2856,"Reason",6,"",3634
"===",2856,"For WGM Review by",1,"100",3911
"===",2864,"Status",7,"13096",2415
"===",2864,"Ballot Resolution",1,"100",3969
"===",2864,"Pre-applied?",3,"100",3910
"===",2864,"Backward Compatible?",1,"100",3847
"===",2864,"url",4,"",3842
"===",2864,"Category",1,"13098",3626
"===",2864,"Reviewing Work Group(s)",5,"13108",3628
"===",2864,"Resource(s)",5,"100",3807
"===",2864,"HTML Page",5,"14097",3808
"===",2864,"Section number",4,"",3631
"===",2864,"Target release",8,"100",3632
"===",2864,"Agreed change",6,"",3633
"===",2864,"Reason",6,"",3634
"===",2864,"For WGM Review by",1,"100",3911
"===",2865,"Status",7,"13096",2415
"===",2865,"Ballot Resolution",1,"100",3969
"===",2865,"Pre-applied?",3,"14633",3910
"===",2865,"Backward Compatible?",1,"14309",3847
"===",2865,"url",4,"",3842
"===",2865,"Category",1,"13098",3626
"===",2865,"Reviewing Work Group(s)",5,"13111",3628
"===",2865,"Resource(s)",5,"100",3807
"===",2865,"HTML Page",5,"14102",3808
"===",2865,"Section number",4,"1.12.2.0.2",3631
"===",2865,"Target release",8,"100",3632
"===",2865,"Agreed change",6,"",3633
"===",2865,"Reason",6,"",3634
"===",2865,"For WGM Review by",1,"100",3911
"===",2866,"Status",7,"13093",2415
"===",2866,"Ballot Resolution",1,"100",3969
"===",2866,"Pre-applied?",3,"100",3910
"===",2866,"Backward Compatible?",1,"14309",3847
"===",2866,"url",4,"",3842
"===",2866,"Category",1,"13099",3626
"===",2866,"Reviewing Work Group(s)",5,"13108",3628
"===",2866,"Resource(s)",5,"14061",3807
"===",2866,"HTML Page",5,"100",3808
"===",2866,"Section number",4,"",3631
"===",2866,"Target release",8,"100",3632
"===",2866,"Agreed change",6,"&lt;p&gt;
Make change as in title &amp;quot;length&amp;quot; becomes &amp;quot;duration&amp;quot;.&amp;nbsp; Woody/Rik 3-0-0&lt;/p&gt;
",3633
"===",2866,"Reason",6,"",3634
"===",2866,"For WGM Review by",1,"100",3911
"===",2874,"Status",7,"13093",2415
"===",2874,"Ballot Resolution",1,"100",3969
"===",2874,"Pre-applied?",3,"100",3910
"===",2874,"Backward Compatible?",1,"14308",3847
"===",2874,"url",4,"",3842
"===",2874,"Category",1,"13097",3626
"===",2874,"Reviewing Work Group(s)",5,"13113",3628
"===",2874,"Resource(s)",5,"100",3807
"===",2874,"HTML Page",5,"14096",3808
"===",2874,"Section number",4,"1.12.0.3",3631
"===",2874,"Target release",8,"1070",3632
"===",2874,"Agreed change",6,"&lt;p&gt;
&amp;amp;amp;amp;amp;lt;p&amp;amp;amp;amp;amp;gt; Change to identified URL&amp;amp;amp;amp;amp;lt;/p&amp;amp;amp;amp;amp;gt;&lt;/p&gt;
",3633
"===",2874,"Reason",6,"",3634
"===",2874,"For WGM Review by",1,"100",3911
"===",2881,"Status",7,"13093",2415
"===",2881,"Ballot Resolution",1,"100",3969
"===",2881,"Pre-applied?",3,"100",3910
"===",2881,"Backward Compatible?",1,"14308",3847
"===",2881,"url",4,"",3842
"===",2881,"Category",1,"13099",3626
"===",2881,"Reviewing Work Group(s)",5,"13108",3628
"===",2881,"Reviewing Work Group(s)",5,"13113",3628
"===",2881,"Resource(s)",5,"100",3807
"===",2881,"HTML Page",5,"14134",3808
"===",2881,"Section number",4,"",3631
"===",2881,"Target release",8,"100",3632
"===",2881,"Agreed change",6,"&lt;p&gt;
Update the methodology to make clear that v3-specific terminology (e.g. null flavor) does not appear in the spec except when talking about v3 or CDA mappings. &amp;nbsp;Do a search for nullFlavor and &amp;quot;null flavor&amp;quot; and alter the wording to be non-v3-specific.&lt;/p&gt;

&lt;p&gt;
Rik/Woody 11/0/0&lt;/p&gt;
",3633
"===",2881,"Reason",6,"",3634
"===",2881,"For WGM Review by",1,"100",3911
"===",2882,"Status",7,"13093",2415
"===",2882,"Ballot Resolution",1,"100",3969
"===",2882,"Pre-applied?",3,"100",3910
"===",2882,"Backward Compatible?",1,"14308",3847
"===",2882,"url",4,"",3842
"===",2882,"Category",1,"13097",3626
"===",2882,"Reviewing Work Group(s)",5,"13106",3628
"===",2882,"Resource(s)",5,"14053",3807
"===",2882,"HTML Page",5,"100",3808
"===",2882,"Section number",4,"4.4.1",3631
"===",2882,"Target release",8,"1070",3632
"===",2882,"Agreed change",6,"&lt;p&gt;
&amp;amp;lt;p&amp;amp;gt; Remove duplicate line&amp;amp;lt;/p&amp;amp;gt;&lt;/p&gt;
",3633
"===",2882,"Reason",6,"",3634
"===",2882,"For WGM Review by",1,"100",3911
"===",2884,"Status",7,"13094",2415
"===",2884,"Ballot Resolution",1,"100",3969
"===",2884,"Pre-applied?",3,"100",3910
"===",2884,"Backward Compatible?",1,"14308",3847
"===",2884,"url",4,"",3842
"===",2884,"Category",1,"13098",3626
"===",2884,"Reviewing Work Group(s)",5,"14030",3628
"===",2884,"Resource(s)",5,"100",3807
"===",2884,"HTML Page",5,"14134",3808
"===",2884,"Section number",4,"",3631
"===",2884,"Target release",8,"1070",3632
"===",2884,"Agreed change",6,"&lt;p&gt;
&amp;amp;amp;lt;p&amp;amp;amp;gt; Turn &amp;amp;amp;amp;lt;script /&amp;amp;amp;amp;gt; tags into &amp;amp;amp;amp;lt;script&amp;amp;amp;amp;gt; &amp;amp;amp;amp;lt;/script&amp;amp;amp;amp;gt; tags, to correctly load bootstrap javascript.&amp;amp;amp;lt;/p&amp;amp;amp;gt;&lt;/p&gt;
",3633
"===",2884,"Reason",6,"",3634
"===",2884,"For WGM Review by",1,"100",3911
"===",2885,"Status",7,"13094",2415
"===",2885,"Ballot Resolution",1,"100",3969
"===",2885,"Pre-applied?",3,"100",3910
"===",2885,"Backward Compatible?",1,"14308",3847
"===",2885,"url",4,"",3842
"===",2885,"Category",1,"13098",3626
"===",2885,"Reviewing Work Group(s)",5,"13111",3628
"===",2885,"Resource(s)",5,"100",3807
"===",2885,"HTML Page",5,"14105",3808
"===",2885,"Section number",4,"2.1.16",3631
"===",2885,"Target release",8,"1070",3632
"===",2885,"Agreed change",6,"&lt;p&gt;
&amp;lt;p&amp;gt; &amp;amp;lt;p&amp;amp;gt; Reviewed with Grahame, agreed to change into POST operation on operation specific _delete endpoint&amp;amp;lt;/p&amp;amp;gt;&amp;lt;/p&amp;gt;&lt;/p&gt;
",3633
"===",2885,"Reason",6,"",3634
"===",2885,"For WGM Review by",1,"100",3911
"===",2886,"Status",7,"13096",2415
"===",2886,"Ballot Resolution",1,"100",3969
"===",2886,"Pre-applied?",3,"100",3910
"===",2886,"Backward Compatible?",1,"100",3847
"===",2886,"url",4,"",3842
"===",2886,"Category",1,"13099",3626
"===",2886,"Reviewing Work Group(s)",5,"13121",3628
"===",2886,"Resource(s)",5,"14077",3807
"===",2886,"HTML Page",5,"100",3808
"===",2886,"Section number",4,"",3631
"===",2886,"Target release",8,"100",3632
"===",2886,"Agreed change",6,"",3633
"===",2886,"Reason",6,"",3634
"===",2886,"For WGM Review by",1,"14698",3911
"===",2887,"Status",7,"13093",2415
"===",2887,"Ballot Resolution",1,"100",3969
"===",2887,"Pre-applied?",3,"100",3910
"===",2887,"Backward Compatible?",1,"14309",3847
"===",2887,"url",4,"",3842
"===",2887,"Category",1,"13099",3626
"===",2887,"Reviewing Work Group(s)",5,"13108",3628
"===",2887,"Reviewing Work Group(s)",5,"13113",3628
"===",2887,"Resource(s)",5,"14077",3807
"===",2887,"HTML Page",5,"100",3808
"===",2887,"Section number",4,"",3631
"===",2887,"Target release",8,"100",3632
"===",2887,"Agreed change",6,"&lt;p&gt;
Agree to add type MnM 2014/08/20 2-0-0&lt;/p&gt;
",3633
"===",2887,"Reason",6,"",3634
"===",2887,"For WGM Review by",1,"100",3911
"===",2888,"Status",7,"13093",2415
"===",2888,"Ballot Resolution",1,"100",3969
"===",2888,"Pre-applied?",3,"100",3910
"===",2888,"Backward Compatible?",1,"14309",3847
"===",2888,"url",4,"",3842
"===",2888,"Category",1,"13099",3626
"===",2888,"Reviewing Work Group(s)",5,"13113",3628
"===",2888,"Resource(s)",5,"100",3807
"===",2888,"HTML Page",5,"14096",3808
"===",2888,"Section number",4,"1.12.0.13 ",3631
"===",2888,"Target release",8,"100",3632
"===",2888,"Agreed change",6,"&lt;p&gt;
Woody/Matt 11/0/0&lt;/p&gt;
",3633
"===",2888,"Reason",6,"",3634
"===",2888,"For WGM Review by",1,"100",3911
"===",2889,"Status",7,"13093",2415
"===",2889,"Ballot Resolution",1,"100",3969
"===",2889,"Pre-applied?",3,"100",3910
"===",2889,"Backward Compatible?",1,"14309",3847
"===",2889,"url",4,"",3842
"===",2889,"Category",1,"13099",3626
"===",2889,"Reviewing Work Group(s)",5,"13113",3628
"===",2889,"Resource(s)",5,"100",3807
"===",2889,"HTML Page",5,"14133",3808
"===",2889,"Section number",4,"",3631
"===",2889,"Target release",8,"100",3632
"===",2889,"Agreed change",6,"",3633
"===",2889,"Reason",6,"",3634
"===",2889,"For WGM Review by",1,"100",3911
"===",2942,"Status",7,"13095",2415
"===",2942,"Ballot Resolution",1,"100",3969
"===",2942,"Pre-applied?",3,"100",3910
"===",2942,"Backward Compatible?",1,"100",3847
"===",2942,"url",4,"",3842
"===",2942,"Category",1,"13098",3626
"===",2942,"Reviewing Work Group(s)",5,"14030",3628
"===",2942,"Resource(s)",5,"100",3807
"===",2942,"HTML Page",5,"14134",3808
"===",2942,"Section number",4,"",3631
"===",2942,"Target release",8,"100",3632
"===",2942,"Agreed change",6,"",3633
"===",2942,"Reason",6,"",3634
"===",2942,"For WGM Review by",1,"14704",3911
"===",2945,"Status",7,"13093",2415
"===",2945,"Ballot Resolution",1,"100",3969
"===",2945,"Pre-applied?",3,"100",3910
"===",2945,"Backward Compatible?",1,"14308",3847
"===",2945,"url",4,"",3842
"===",2945,"Category",1,"13099",3626
"===",2945,"Reviewing Work Group(s)",5,"13114",3628
"===",2945,"Resource(s)",5,"14088",3807
"===",2945,"HTML Page",5,"100",3808
"===",2945,"Section number",4,"5.11.5",3631
"===",2945,"Target release",8,"100",3632
"===",2945,"Agreed change",6,"",3633
"===",2945,"Reason",6,"",3634
"===",2945,"For WGM Review by",1,"100",3911
"===",2946,"Status",7,"13093",2415
"===",2946,"Ballot Resolution",1,"100",3969
"===",2946,"Pre-applied?",3,"100",3910
"===",2946,"Backward Compatible?",1,"14308",3847
"===",2946,"url",4,"",3842
"===",2946,"Category",1,"13097",3626
"===",2946,"Reviewing Work Group(s)",5,"13108",3628
"===",2946,"Resource(s)",5,"14078",3807
"===",2946,"HTML Page",5,"100",3808
"===",2946,"Section number",4,"6.6.2",3631
"===",2946,"Target release",8,"100",3632
"===",2946,"Agreed change",6,"",3633
"===",2946,"Reason",6,"",3634
"===",2946,"For WGM Review by",1,"100",3911
"===",2947,"Status",7,"13095",2415
"===",2947,"Ballot Resolution",1,"100",3969
"===",2947,"Pre-applied?",3,"100",3910
"===",2947,"Backward Compatible?",1,"100",3847
"===",2947,"url",4,"",3842
"===",2947,"Category",1,"13097",3626
"===",2947,"Reviewing Work Group(s)",5,"13108",3628
"===",2947,"Resource(s)",5,"14084",3807
"===",2947,"HTML Page",5,"100",3808
"===",2947,"Section number",4,"1.14.2.1.1",3631
"===",2947,"Target release",8,"100",3632
"===",2947,"Agreed change",6,"",3633
"===",2947,"Reason",6,"",3634
"===",2947,"For WGM Review by",1,"100",3911
"===",2948,"Status",7,"13093",2415
"===",2948,"Ballot Resolution",1,"100",3969
"===",2948,"Pre-applied?",3,"100",3910
"===",2948,"Backward Compatible?",1,"100",3847
"===",2948,"url",4,"",3842
"===",2948,"Category",1,"13099",3626
"===",2948,"Reviewing Work Group(s)",5,"13108",3628
"===",2948,"Resource(s)",5,"100",3807
"===",2948,"HTML Page",5,"14096",3808
"===",2948,"Section number",4,"6.4.3",3631
"===",2948,"Target release",8,"100",3632
"===",2948,"Agreed change",6,"&lt;p&gt;
&amp;lt;p&amp;gt; Agreed MIME type is inappropriate, but is used two places DocumentReference and Attachment.&amp;amp;nbsp; These should agree.&amp;amp;nbsp; Move to use mediaType for both, because believe clearer and aligns with IANA. mimeType from DocumentReference and contentType from Attachment both become mediaType.&amp;lt;/p&amp;gt; &amp;lt;p&amp;gt; Also change the ValueSet name to MediaType.&amp;lt;/p&amp;gt; &amp;lt;p&amp;gt; Rik/Woody 3-0-0&amp;lt;/p&amp;gt; &amp;lt;p&amp;gt; &amp;amp;nbsp;&amp;lt;/p&amp;gt;&lt;/p&gt;
",3633
"===",2948,"Reason",6,"",3634
"===",2948,"For WGM Review by",1,"100",3911
"===",2949,"Status",7,"13093",2415
"===",2949,"Ballot Resolution",1,"100",3969
"===",2949,"Pre-applied?",3,"100",3910
"===",2949,"Backward Compatible?",1,"14308",3847
"===",2949,"url",4,"",3842
"===",2949,"Category",1,"13098",3626
"===",2949,"Reviewing Work Group(s)",5,"14028",3628
"===",2949,"Resource(s)",5,"14043",3807
"===",2949,"HTML Page",5,"100",3808
"===",2949,"Section number",4,"6.12.3",3631
"===",2949,"Target release",8,"100",3632
"===",2949,"Agreed change",6,"&lt;p&gt;
We agree people can release a piece of software multiple times a day. Change the description to &amp;quot;Date (and optionally time) of publication&amp;quot;&lt;/p&gt;

&lt;p&gt;
Dale/Ioanna&amp;nbsp; 14/0/0&lt;/p&gt;
",3633
"===",2949,"Reason",6,"",3634
"===",2949,"For WGM Review by",1,"100",3911
"===",2952,"Status",7,"13093",2415
"===",2952,"Ballot Resolution",1,"100",3969
"===",2952,"Pre-applied?",3,"100",3910
"===",2952,"Backward Compatible?",1,"14308",3847
"===",2952,"url",4,"",3842
"===",2952,"Category",1,"13099",3626
"===",2952,"Reviewing Work Group(s)",5,"13116",3628
"===",2952,"Resource(s)",5,"14042",3807
"===",2952,"HTML Page",5,"100",3808
"===",2952,"Section number",4,"4.5.2",3631
"===",2952,"Target release",8,"100",3632
"===",2952,"Agreed change",6,"&lt;p&gt;
Onset only captures date, not date time. &amp;nbsp;&lt;/p&gt;

&lt;p&gt;
Motion - change data type from date to datetime. &amp;nbsp;Will still be able to capture just date. &amp;nbsp;&lt;/p&gt;

&lt;p&gt;
Vote: &amp;nbsp;abstain - 0, negative - 0, approve - 8&lt;/p&gt;

&lt;p&gt;
11/13/14&lt;/p&gt;
",3633
"===",2952,"Reason",6,"",3634
"===",2952,"For WGM Review by",1,"100",3911
"===",2953,"Status",7,"13093",2415
"===",2953,"Ballot Resolution",1,"100",3969
"===",2953,"Pre-applied?",3,"100",3910
"===",2953,"Backward Compatible?",1,"14308",3847
"===",2953,"url",4,"",3842
"===",2953,"Category",1,"13099",3626
"===",2953,"Reviewing Work Group(s)",5,"13111",3628
"===",2953,"Resource(s)",5,"14079",3807
"===",2953,"HTML Page",5,"100",3808
"===",2953,"Section number",4,"2.2",3631
"===",2953,"Target release",8,"1071",3632
"===",2953,"Agreed change",6,"&lt;p&gt;
Should be:&amp;nbsp;Be specific that search implementations should use POST&amp;nbsp;not GET&amp;nbsp;if...&lt;/p&gt;

&lt;p&gt;
Motion 1:&lt;/p&gt;

&lt;p&gt;
Use this syntax for service operations.&amp;nbsp;&lt;/p&gt;

&lt;p&gt;
[base]/_services/BookMyAppointment?...&lt;/p&gt;

&lt;p&gt;
* Document the difference between search and operation&lt;br /&gt;
* Document the limits of our knowledge about the difference and we will work towards improving the differentiation&lt;br /&gt;
* Change the documentation of search and _query to clarify it&amp;#39;s restricted meaning and usage&lt;/p&gt;

&lt;p&gt;
&amp;nbsp;&lt;/p&gt;

&lt;p&gt;
2nd motion:&lt;/p&gt;

&lt;p&gt;
[base]/_services/FHIR/BookMyAppointment?...&lt;/p&gt;

&lt;p&gt;
extensibility allowed by substituting an alternative name in place of _services/[FHIR]/name&lt;/p&gt;
",3633
"===",2953,"Reason",6,"",3634
"===",2953,"For WGM Review by",1,"100",3911
"===",2955,"Status",7,"13093",2415
"===",2955,"Ballot Resolution",1,"100",3969
"===",2955,"Pre-applied?",3,"100",3910
"===",2955,"Backward Compatible?",1,"14308",3847
"===",2955,"url",4,"",3842
"===",2955,"Category",1,"13098",3626
"===",2955,"Reviewing Work Group(s)",5,"13108",3628
"===",2955,"Resource(s)",5,"100",3807
"===",2955,"HTML Page",5,"14091",3808
"===",2955,"Section number",4,"1.12.7.3",3631
"===",2955,"Target release",8,"100",3632
"===",2955,"Agreed change",6,"",3633
"===",2955,"Reason",6,"",3634
"===",2955,"For WGM Review by",1,"100",3911
"===",2956,"Status",7,"13093",2415
"===",2956,"Ballot Resolution",1,"100",3969
"===",2956,"Pre-applied?",3,"100",3910
"===",2956,"Backward Compatible?",1,"14308",3847
"===",2956,"url",4,"",3842
"===",2956,"Category",1,"13099",3626
"===",2956,"Reviewing Work Group(s)",5,"13108",3628
"===",2956,"Resource(s)",5,"14037",3807
"===",2956,"HTML Page",5,"100",3808
"===",2956,"Section number",4,"2.1.18",3631
"===",2956,"Target release",8,"100",3632
"===",2956,"Agreed change",6,"&lt;p&gt;
Agree: Document in the spec the ability to search using the _id, and provide for filtering these searches by MediaType and size.&amp;nbsp; Woody/Rik 3-0-0&lt;/p&gt;
",3633
"===",2956,"Reason",6,"",3634
"===",2956,"For WGM Review by",1,"100",3911
"===",2957,"Status",7,"13093",2415
"===",2957,"Ballot Resolution",1,"100",3969
"===",2957,"Pre-applied?",3,"100",3910
"===",2957,"Backward Compatible?",1,"14308",3847
"===",2957,"url",4,"",3842
"===",2957,"Category",1,"13097",3626
"===",2957,"Reviewing Work Group(s)",5,"13112",3628
"===",2957,"Resource(s)",5,"100",3807
"===",2957,"HTML Page",5,"14112",3808
"===",2957,"Section number",4,"2.3.1",3631
"===",2957,"Target release",8,"100",3632
"===",2957,"Agreed change",6,"",3633
"===",2957,"Reason",6,"",3634
"===",2957,"For WGM Review by",1,"100",3911
"===",2958,"Status",7,"13093",2415
"===",2958,"Ballot Resolution",1,"100",3969
"===",2958,"Pre-applied?",3,"100",3910
"===",2958,"Backward Compatible?",1,"14308",3847
"===",2958,"url",4,"",3842
"===",2958,"Category",1,"13097",3626
"===",2958,"Reviewing Work Group(s)",5,"13108",3628
"===",2958,"Resource(s)",5,"100",3807
"===",2958,"HTML Page",5,"14117",3808
"===",2958,"Section number",4,"1.12.3.3",3631
"===",2958,"Target release",8,"100",3632
"===",2958,"Agreed change",6,"",3633
"===",2958,"Reason",6,"",3634
"===",2958,"For WGM Review by",1,"100",3911
"===",2962,"Status",7,"13093",2415
"===",2962,"Ballot Resolution",1,"100",3969
"===",2962,"Pre-applied?",3,"100",3910
"===",2962,"Backward Compatible?",1,"14308",3847
"===",2962,"url",4,"",3842
"===",2962,"Category",1,"13099",3626
"===",2962,"Reviewing Work Group(s)",5,"14030",3628
"===",2962,"Resource(s)",5,"100",3807
"===",2962,"HTML Page",5,"14134",3808
"===",2962,"Section number",4,"",3631
"===",2962,"Target release",8,"100",3632
"===",2962,"Agreed change",6,"",3633
"===",2962,"Reason",6,"",3634
"===",2962,"For WGM Review by",1,"100",3911
"===",2963,"Status",7,"13093",2415
"===",2963,"Ballot Resolution",1,"100",3969
"===",2963,"Pre-applied?",3,"100",3910
"===",2963,"Backward Compatible?",1,"14308",3847
"===",2963,"url",4,"",3842
"===",2963,"Category",1,"13097",3626
"===",2963,"Reviewing Work Group(s)",5,"13108",3628
"===",2963,"Resource(s)",5,"100",3807
"===",2963,"HTML Page",5,"14119",3808
"===",2963,"Section number",4,"2.2",3631
"===",2963,"Target release",8,"100",3632
"===",2963,"Agreed change",6,"",3633
"===",2963,"Reason",6,"",3634
"===",2963,"For WGM Review by",1,"100",3911
"===",2964,"Status",7,"13093",2415
"===",2964,"Ballot Resolution",1,"100",3969
"===",2964,"Pre-applied?",3,"100",3910
"===",2964,"Backward Compatible?",1,"14308",3847
"===",2964,"url",4,"",3842
"===",2964,"Category",1,"13099",3626
"===",2964,"Reviewing Work Group(s)",5,"13114",3628
"===",2964,"Reviewing Work Group(s)",5,"13116",3628
"===",2964,"Resource(s)",5,"14068",3807
"===",2964,"HTML Page",5,"100",3808
"===",2964,"Section number",4,"",3631
"===",2964,"Target release",8,"100",3632
"===",2964,"Agreed change",6,"&lt;p&gt;
Eric Haas will enhance the introduction to observation (see GFORGE # 2964 ) and Stephen Chu will enhance the wording of the condition introduction.&lt;/p&gt;

&lt;p&gt;
Motion - enhance introductions.&lt;/p&gt;

&lt;p&gt;
Vote: abstain - 0, negative - 0, approve - 8&lt;/p&gt;

&lt;p&gt;
11/13/14&lt;/p&gt;

&lt;p&gt;
12/6/2014 &amp;nbsp;added new text to DSTU 2&lt;/p&gt;
",3633
"===",2964,"Reason",6,"&lt;p&gt;
See patient care wiki on observation vs. condition. &amp;nbsp;&lt;/p&gt;
",3634
"===",2964,"For WGM Review by",1,"100",3911
"===",2968,"Status",7,"13093",2415
"===",2968,"Ballot Resolution",1,"100",3969
"===",2968,"Pre-applied?",3,"100",3910
"===",2968,"Backward Compatible?",1,"14308",3847
"===",2968,"url",4,"",3842
"===",2968,"Category",1,"13098",3626
"===",2968,"Reviewing Work Group(s)",5,"13115",3628
"===",2968,"Resource(s)",5,"14052",3807
"===",2968,"HTML Page",5,"100",3808
"===",2968,"Section number",4,"",3631
"===",2968,"Target release",8,"100",3632
"===",2968,"Agreed change",6,"&lt;p&gt;
Section #1.14.2.1.187 to read &amp;quot;This is an example value set defined by the FHIR project that could be used in an emergency setting to indicate the encounter priority as determined by triage.&amp;quot; Title and URI discription should be corrected. Heading to be &amp;quot;Encounter Priority&amp;quot; and URI to be updated to end with &amp;quot;Encounter Priority&amp;quot;&lt;br /&gt;
&amp;nbsp;&lt;/p&gt;
",3633
"===",2968,"Reason",6,"",3634
"===",2968,"For WGM Review by",1,"100",3911
"===",2969,"Status",7,"13093",2415
"===",2969,"Ballot Resolution",1,"100",3969
"===",2969,"Pre-applied?",3,"100",3910
"===",2969,"Backward Compatible?",1,"14309",3847
"===",2969,"url",4,"",3842
